4,"select ra, dec, dered_u into mydb.Atest2 from photoprimary where err_r > # and err_z > # and ra > = # and ra< # and dec > =# and dec< =# and ( (flags_u & #) ! = #) and ( (flags_u & #) = #) and ( (flags_u & #) = #) AND ( ((flags_u & #) = #) or (flags_u & #) = #)"
2019-02-20 01:56:00,1
2019-02-20 01:59:00,3
