17,"SELECT top # gal.objID, gal.u, gal.g, gal.r, gal.i, gal.z, s.z, x.plate, x.mjd, s.fiberID FROM galaxy gal JOIN specObj s on s.bestObjID = gal.objID JOIN plateX x on x.plateID = s.plateID WHERE s.class = # AND gal.g BETWEEN # and # AND s.z < #"
2019-02-21 21:28:00,1
2019-03-01 12:38:00,1
2019-06-08 17:38:00,1
2019-06-10 15:58:00,1
2019-06-25 14:09:00,1
2019-06-27 10:42:00,1
2019-07-12 19:11:00,2
2019-07-24 04:28:00,1
2019-07-25 11:13:00,1
2019-07-31 08:22:00,1
2019-07-31 09:36:00,1
2019-08-19 06:17:00,1
2019-11-27 05:28:00,1
2019-11-27 06:19:00,1
2019-11-29 05:58:00,1
2019-12-04 08:42:00,1
