183,select fieldid from field where medianpsfcolor_z between -.# and # and q_u between # and #
2019-01-28 23:05:00,5
2019-01-28 23:06:00,22
2019-01-28 23:07:00,26
2019-01-28 23:08:00,16
2019-01-28 23:09:00,19
2019-01-28 23:10:00,26
2019-01-28 23:11:00,10
2019-01-28 23:18:00,10
2019-01-28 23:19:00,7
2019-01-28 23:20:00,3
2019-02-26 13:42:00,12
2019-02-26 13:43:00,26
2019-02-26 13:44:00,1
