30794,"SELECT dbo.fInFootprintEq (#, #, #)"
2019-01-10 06:00:00,2
2019-01-11 06:00:00,1
2019-01-11 06:07:00,1
2019-01-11 06:10:00,1
2019-01-11 06:13:00,4
2019-01-11 06:14:00,12
2019-01-11 06:15:00,12
2019-01-11 06:16:00,1
2019-01-11 18:19:00,4
2019-01-11 18:20:00,6
2019-01-12 06:01:00,1
2019-01-12 06:09:00,1
2019-01-12 06:27:00,1
2019-01-12 06:42:00,1
2019-01-14 06:00:00,12
2019-01-14 06:01:00,15
2019-01-14 06:02:00,14
2019-01-14 06:03:00,15
2019-01-14 06:04:00,14
2019-01-14 06:05:00,8
2019-01-14 06:06:00,14
2019-01-14 06:07:00,15
2019-01-14 06:08:00,15
2019-01-14 06:09:00,4
2019-01-14 06:14:00,9
2019-01-17 06:01:00,2
2019-01-17 06:02:00,5
2019-01-17 06:03:00,5
2019-01-17 06:04:00,5
2019-01-17 06:05:00,6
2019-01-17 06:06:00,6
2019-01-17 06:07:00,5
2019-01-17 06:08:00,6
2019-01-17 06:09:00,6
2019-01-17 06:10:00,5
2019-01-17 06:11:00,6
2019-01-17 06:12:00,5
2019-01-17 06:13:00,6
2019-01-17 06:14:00,6
2019-01-17 06:15:00,5
2019-01-17 06:16:00,6
2019-01-17 06:17:00,6
2019-01-17 06:18:00,5
2019-01-17 06:19:00,6
2019-01-17 06:20:00,6
2019-01-17 06:21:00,5
2019-01-17 06:22:00,6
2019-01-17 06:23:00,6
2019-01-17 06:24:00,15
2019-01-17 06:25:00,15
2019-01-17 06:26:00,14
2019-01-17 06:27:00,15
2019-01-17 06:28:00,14
2019-01-17 06:29:00,15
2019-01-17 06:30:00,15
2019-01-17 06:31:00,14
2019-01-17 06:32:00,15
2019-01-17 06:33:00,14
2019-01-17 06:34:00,15
2019-01-17 06:35:00,14
2019-01-17 06:36:00,15
2019-01-17 06:37:00,14
2019-01-17 06:38:00,15
2019-01-17 06:39:00,15
2019-01-17 06:40:00,14
2019-01-17 06:41:00,15
2019-01-17 06:42:00,1
2019-02-06 06:00:00,1
2019-02-06 06:21:00,1
2019-02-07 06:00:00,5
2019-02-07 06:01:00,7
2019-02-07 06:02:00,8
2019-02-07 06:03:00,7
2019-02-07 06:04:00,8
2019-02-07 06:05:00,4
2019-02-07 06:06:00,8
2019-02-07 06:07:00,8
2019-02-07 06:08:00,2
2019-02-07 06:10:00,1
2019-02-08 06:00:00,7
2019-02-08 06:01:00,7
2019-02-08 06:02:00,8
2019-02-08 06:03:00,8
2019-02-08 06:04:00,8
2019-02-08 06:05:00,7
2019-02-08 06:06:00,8
2019-02-08 06:07:00,7
2019-02-12 06:00:00,9
2019-02-12 06:01:00,15
2019-02-12 06:02:00,6
2019-02-12 06:05:00,10
2019-02-12 06:06:00,15
2019-02-12 06:07:00,14
2019-02-12 06:08:00,15
2019-02-12 06:09:00,14
2019-02-12 06:10:00,15
2019-02-12 06:11:00,14
2019-02-12 06:12:00,14
2019-02-12 06:13:00,14
2019-02-13 06:00:00,10
2019-02-13 06:01:00,15
2019-02-13 06:02:00,14
2019-02-13 06:03:00,14
2019-02-13 06:04:00,15
2019-02-13 06:05:00,9
2019-02-13 06:11:00,12
2019-02-13 06:15:00,14
2019-02-13 06:16:00,15
2019-02-13 06:17:00,1
2019-02-13 06:21:00,1
2019-02-13 19:01:00,3
2019-02-13 19:02:00,14
2019-02-13 19:03:00,3
2019-02-14 06:00:00,13
2019-02-14 06:01:00,11
2019-02-14 06:15:00,6
2019-02-14 06:17:00,1
2019-02-14 06:29:00,1
2019-02-14 06:37:00,1
2019-02-14 06:46:00,1
2019-02-14 07:02:00,1
2019-02-15 06:00:00,12
2019-02-15 06:01:00,14
2019-02-15 06:02:00,15
2019-02-15 06:03:00,15
2019-02-15 06:04:00,14
2019-02-15 06:05:00,11
2019-02-15 06:06:00,15
2019-02-15 06:07:00,15
2019-02-15 06:08:00,14
2019-02-15 06:09:00,15
2019-02-15 06:10:00,8
2019-02-15 06:20:00,3
2019-02-15 06:21:00,15
2019-02-15 06:22:00,14
2019-02-15 06:23:00,15
