935,"select top # p.ra, p.dec, p.deVRad_r, q.z from galaxy p, dbo.fgetNearByObjEq (#, #, #) n, galSpecInfo q where p.objid = n.objid and p.specObjID = q.specObjID and p.specObjID< ># and q.z> # and abs (#* (#-q.z) )< #"
2019-01-09 08:27:00,1
2019-01-09 08:30:00,1
2019-01-09 08:31:00,1
2019-01-09 08:33:00,1
2019-01-10 08:57:00,1
2019-01-10 13:57:00,1
2019-01-10 13:58:00,1
2019-01-18 18:08:00,2
2019-01-18 18:09:00,1
2019-01-18 18:10:00,1
2019-02-11 18:08:00,1
2019-02-12 17:38:00,1
2019-02-12 18:20:00,1
2019-02-12 18:36:00,1
2019-02-12 18:38:00,1
2019-02-17 19:29:00,1
2019-02-17 19:30:00,1
2019-02-17 19:32:00,1
2019-02-17 19:33:00,2
2019-02-17 19:34:00,1
2019-02-17 19:39:00,1
2019-02-17 19:45:00,1
2019-02-17 19:46:00,2
2019-02-17 19:47:00,2
2019-02-17 19:48:00,1
2019-02-17 19:56:00,1
2019-02-17 19:59:00,1
2019-02-17 23:12:00,1
2019-02-18 19:42:00,1
2019-02-18 19:48:00,5
2019-02-18 19:51:00,1
2019-02-18 19:56:00,1
2019-02-18 20:09:00,1
2019-02-18 20:27:00,2
2019-02-18 20:34:00,1
2019-02-18 22:29:00,1
2019-02-19 14:28:00,1
2019-02-19 14:37:00,1
2019-02-19 17:41:00,1
2019-02-19 17:48:00,1
2019-02-19 17:50:00,1
2019-02-19 18:04:00,1
2019-02-19 19:44:00,1
2019-02-19 19:58:00,1
2019-02-19 20:03:00,1
2019-02-20 06:13:00,1
2019-02-20 06:33:00,1
2019-02-20 06:47:00,1
2019-02-20 06:53:00,1
2019-02-20 06:54:00,1
2019-02-20 07:05:00,2
2019-02-20 07:06:00,2
2019-02-20 07:08:00,1
2019-02-20 07:12:00,1
2019-02-20 11:19:00,1
2019-02-20 13:18:00,1
2019-02-20 13:19:00,1
2019-02-20 16:29:00,1
2019-02-20 18:52:00,1
2019-02-20 19:04:00,2
2019-02-20 19:31:00,1
2019-02-20 19:51:00,1
2019-02-20 21:13:00,1
2019-02-21 00:52:00,1
2019-02-21 00:53:00,2
2019-02-21 00:54:00,1
2019-02-21 00:55:00,1
2019-02-21 08:54:00,1
2019-02-21 12:59:00,2
2019-02-21 13:02:00,2
2019-02-21 13:08:00,1
2019-02-21 13:13:00,1
2019-02-21 14:22:00,1
2019-02-21 14:24:00,1
2019-02-21 14:27:00,1
2019-02-21 14:29:00,1
2019-02-21 14:33:00,1
2019-02-21 14:37:00,1
2019-02-21 15:15:00,1
2019-02-21 17:59:00,1
2019-02-21 18:13:00,1
2019-02-21 18:18:00,1
2019-02-22 01:26:00,2
2019-02-22 01:30:00,1
2019-02-22 06:14:00,1
2019-02-22 06:16:00,1
2019-02-22 06:18:00,1
2019-02-22 06:44:00,1
2019-02-22 06:47:00,1
2019-02-22 07:04:00,1
2019-02-22 07:07:00,1
2019-02-22 07:11:00,1
2019-02-22 07:35:00,2
2019-02-22 07:36:00,1
2019-02-22 08:55:00,1
2019-02-22 09:53:00,1
2019-02-22 17:58:00,1
2019-02-22 17:59:00,1
2019-02-22 18:01:00,1
2019-02-22 18:02:00,1
2019-02-22 18:03:00,1
2019-02-22 18:04:00,2
2019-02-22 18:07:00,1
2019-02-22 18:15:00,1
2019-02-22 18:22:00,1
2019-02-23 11:08:00,1
2019-02-23 11:27:00,1
2019-02-23 17:49:00,1
2019-02-23 17:54:00,1
2019-02-23 18:00:00,1
2019-02-23 18:09:00,1
2019-02-23 18:39:00,1
2019-02-23 18:58:00,1
2019-02-23 18:59:00,2
2019-02-23 20:33:00,1
2019-02-24 15:31:00,1
2019-02-24 16:15:00,1
2019-02-24 16:21:00,1
2019-02-24 16:25:00,1
2019-02-24 17:45:00,1
2019-02-24 18:25:00,1
2019-02-24 20:25:00,1
2019-02-24 20:35:00,1
2019-02-24 21:22:00,1
2019-02-24 21:29:00,1
2019-02-25 01:41:00,1
2019-02-25 01:43:00,1
2019-02-25 09:27:00,1
2019-02-25 10:07:00,1
2019-02-25 11:29:00,1
2019-02-25 14:51:00,1
2019-02-25 16:15:00,1
2019-02-25 16:39:00,1
2019-02-25 17:43:00,1
2019-02-25 17:46:00,1
2019-02-25 18:54:00,1
2019-02-25 23:56:00,1
2019-02-26 01:11:00,1
2019-02-26 01:53:00,1
2019-02-26 01:54:00,1
2019-02-26 01:56:00,1
2019-02-26 01:57:00,1
2019-02-26 01:58:00,1
2019-02-26 02:10:00,1
2019-02-26 02:11:00,2
2019-02-26 02:13:00,1
2019-02-26 02:14:00,1
2019-02-27 00:26:00,1
2019-02-27 00:27:00,1
2019-02-27 00:28:00,1
2019-02-27 00:30:00,2
2019-02-27 13:10:00,1
2019-02-27 13:14:00,1
2019-02-27 13:16:00,1
2019-02-27 13:17:00,1
2019-02-27 13:19:00,1
2019-02-27 13:22:00,1
2019-02-27 13:25:00,1
2019-02-27 13:52:00,1
2019-02-27 13:58:00,1
2019-02-27 13:59:00,1
2019-02-27 14:00:00,1
2019-02-27 14:01:00,1
2019-02-27 14:02:00,1
2019-02-27 14:16:00,1
2019-02-27 14:17:00,1
2019-02-27 14:18:00,1
2019-02-27 14:20:00,2
2019-02-27 14:27:00,1
2019-02-27 14:28:00,1
2019-02-27 20:45:00,1
2019-03-01 16:56:00,1
2019-03-01 16:58:00,3
2019-03-01 16:59:00,1
2019-03-01 17:09:00,1
2019-03-01 17:17:00,1
2019-03-01 17:18:00,2
2019-03-02 11:40:00,2
2019-03-02 11:41:00,1
2019-03-02 11:43:00,1
2019-03-02 11:44:00,1
2019-03-02 11:54:00,1
2019-03-02 11:55:00,1
2019-03-02 11:57:00,2
2019-03-02 11:58:00,1
2019-03-02 18:05:00,1
2019-03-02 18:07:00,1
2019-03-02 18:41:00,1
2019-03-02 20:05:00,1
2019-03-03 06:59:00,1
2019-03-03 08:07:00,1
2019-03-03 17:53:00,1
2019-03-03 18:06:00,1
2019-03-03 18:09:00,1
2019-03-03 18:23:00,1
2019-03-03 18:25:00,2
2019-03-03 18:27:00,1
2019-03-03 18:28:00,1
2019-03-03 18:29:00,1
2019-03-03 18:35:00,1
2019-03-03 18:37:00,1
2019-03-04 07:40:00,1
2019-03-04 12:56:00,1
2019-03-04 13:36:00,1
2019-03-04 13:41:00,1
2019-03-04 13:42:00,2
2019-03-04 13:50:00,1
2019-03-04 19:04:00,1
2019-03-04 22:03:00,1
2019-03-04 22:04:00,1
2019-03-04 22:18:00,1
2019-03-04 22:19:00,2
2019-03-04 22:23:00,1
2019-03-04 23:53:00,1
2019-03-04 23:55:00,1
2019-03-04 23:59:00,1
2019-03-05 13:51:00,1
2019-03-05 15:50:00,1
2019-03-05 16:01:00,1
2019-03-05 18:45:00,1
2019-03-05 18:53:00,1
2019-03-05 19:03:00,2
2019-03-05 22:16:00,1
2019-03-05 22:17:00,2
2019-03-05 22:18:00,1
2019-03-05 22:57:00,1
2019-03-05 23:01:00,1
2019-03-06 23:56:00,1
2019-03-06 23:58:00,1
2019-03-07 05:45:00,1
2019-03-07 07:32:00,1
