2149,"SELECT d.*, s.class, s.subclass, s.z FROM dbo.fGetNearestSpecObjAllEq (#, #, #) as d, SpecObjAll as s WHERE d.specObjID = s.specObjID"
2019-08-23 15:32:00,159
2019-08-23 15:36:00,185
2019-08-23 15:38:00,10
2019-08-23 15:39:00,16
2019-08-23 15:41:00,15
2019-08-23 15:43:00,19
2019-08-23 15:45:00,335
2019-08-23 15:46:00,5
2019-08-23 15:47:00,46
2019-08-23 15:48:00,213
2019-08-23 15:58:00,284
2019-08-23 15:59:00,199
2019-08-23 16:00:00,138
2019-08-23 16:12:00,170
2019-08-23 16:13:00,355
