14,"select s.plate, s.mjd, s.fiberid, spp.TEFFADOP, spp.LOGGADOP, spp.FEHADOP, s.subclass FROM SpecObjAll as s, SpecPhotoAll as ph, sppParams as spp where s.SPECOBJID = spp.SPECOBJID and spp.SPECOBJID = ph.specObjID and s.class = # and s.subclass like # and spp.snr> =# and spp.snr< =#"
2019-01-01 12:36:00,1
2019-01-01 12:37:00,1
2019-01-01 13:27:00,1
2019-01-01 14:12:00,1
2019-01-01 14:29:00,2
2019-01-02 00:34:00,2
2019-01-02 00:38:00,1
2019-01-02 00:39:00,1
2019-01-02 00:40:00,1
2019-07-04 07:45:00,2
2019-07-04 07:47:00,1
