480,"SELECT p.ObjID, p.ra, p.dec, n.distance, p.modelMag_u, p.modelMagErr_u, p.modelMag_g, p.modelMagErr_g, p.modelMag_r, p.modelMagErr_r, p.modelMag_i, p.modelMagErr_i, p.modelMag_z, p.modelMagErr_z, p.psfMag_g, p.psfMagErr_g, p.psfMag_r, p.psfMagErr_r, p.psfMag_i, p.psfMagErr_i, p.psfMag_z, p.psfMagErr_z, p.extinction_u, p.extinction_g, p.extinction_r, p.extinction_i, p.extinction_z, p.type, z.z, z.zErr, dbo.fPhotoFlagsN (flags) as flags INTO MyDB.MyTable0 FROM PhotoObj p JOIN dbo.fGetNearbyObjEq (#, #, #) n ON n.objID = p.objID, PhotoZ z WHERE p.type = # and p.objID = z.objID and ( (flags & #) ! = #) and ( (flags & #) = #) and ( ((flags & #) = #) or (p.psfMagErr_g < = #) ) and ( ((flags & #) = #) or (flags & #) = #)"
2019-06-12 15:27:00,3
2019-06-12 15:36:00,3
2019-06-24 17:58:00,1
2019-07-11 17:10:00,1
2019-07-11 17:18:00,1
2019-08-02 11:41:00,6
2019-08-02 11:42:00,5
2019-08-02 11:43:00,6
2019-08-02 11:44:00,6
2019-08-02 11:45:00,6
2019-08-02 11:46:00,6
2019-08-02 11:47:00,6
2019-08-02 11:48:00,6
2019-08-02 11:49:00,5
2019-08-02 11:50:00,6
2019-08-02 11:51:00,6
2019-08-02 11:52:00,6
2019-08-02 11:53:00,6
2019-08-02 11:54:00,6
2019-08-02 11:55:00,6
2019-08-02 11:56:00,6
2019-08-02 11:57:00,5
2019-08-02 11:58:00,6
2019-08-02 11:59:00,6
2019-08-02 12:00:00,6
2019-08-02 12:01:00,6
2019-08-02 12:02:00,6
2019-08-02 12:03:00,6
2019-08-02 12:04:00,5
2019-08-02 12:05:00,6
2019-08-02 12:06:00,6
2019-08-02 12:07:00,6
2019-08-02 12:08:00,6
2019-08-02 12:09:00,6
2019-08-02 12:10:00,6
2019-08-02 12:11:00,5
2019-08-02 12:12:00,6
2019-08-02 12:13:00,6
2019-08-02 12:14:00,6
2019-08-02 12:15:00,6
2019-08-02 12:16:00,6
2019-08-02 12:17:00,6
2019-08-02 12:18:00,5
2019-08-02 12:19:00,6
2019-08-02 12:20:00,6
2019-08-02 12:21:00,6
2019-08-02 12:22:00,6
2019-08-02 12:23:00,6
2019-08-02 12:24:00,6
2019-08-02 12:25:00,6
2019-08-02 12:26:00,5
2019-08-02 12:27:00,6
2019-08-02 12:28:00,6
2019-08-02 12:29:00,5
2019-08-02 12:30:00,6
2019-08-02 12:31:00,6
2019-08-02 12:32:00,6
2019-08-02 12:33:00,5
2019-08-02 12:34:00,6
2019-08-02 12:35:00,6
2019-08-02 12:36:00,6
2019-08-02 12:37:00,6
2019-08-02 12:38:00,6
2019-08-02 12:39:00,6
2019-08-02 12:40:00,6
2019-08-02 12:41:00,5
2019-08-02 12:42:00,6
2019-08-02 12:43:00,6
2019-08-02 12:44:00,6
2019-08-02 12:45:00,6
2019-08-02 12:46:00,6
2019-08-02 12:47:00,6
2019-08-02 12:48:00,5
2019-08-02 12:49:00,6
2019-08-02 12:50:00,6
2019-08-02 12:51:00,6
2019-08-02 12:52:00,6
2019-08-02 12:53:00,6
2019-08-02 12:54:00,6
2019-08-02 12:55:00,6
2019-08-02 12:56:00,4
2019-08-02 12:57:00,4
2019-08-23 11:20:00,1
2019-10-02 14:12:00,1
2019-10-02 14:19:00,4
2019-10-02 14:20:00,5
2019-10-02 14:21:00,4
2019-10-02 14:22:00,3
2019-10-02 14:23:00,3
2019-10-02 14:24:00,3
