6,"SELECT TOP # ra, dec, z, spectroFlux_u, spectroFlux_g, spectroFlux_r, spectroFlux_i, spectroFlux_z FROM SpecObj WHERE zWarning = # AND z> # ORDER by z"
2019-01-18 10:33:00,1
2019-01-18 10:34:00,2
2019-01-18 10:35:00,3
