4,"select v.[name] as viewname, s.[name] as [schema] from sys.views as v, sys.schemas as s where v.schema_id = s.schema_id --and s.[name] = # Select top # plate, MJD, fiberID from specobjall where class = # and waveMin < = # and subClass like # and waveMax > = # and snMedian_g > # and snMedian_g < #"
2019-10-06 08:55:00,3
2019-10-06 08:56:00,1
