24,"SELECT TOP # p.run, p.rerun, p.camCol, p.field, p.obj, # as filter FROM dbo.fGetNearbyObjEq (#, #, #) as b, BESTDR1..PhotoObj as p WHERE b.objID = p.objID AND (p.type = # OR p.type = #)"
2019-02-11 21:08:00,1
2019-02-22 05:57:00,1
2019-02-24 18:22:00,1
2019-03-03 08:10:00,1
2019-03-03 08:43:00,1
2019-03-03 08:52:00,1
2019-03-03 09:04:00,1
2019-03-03 09:16:00,1
2019-03-03 09:26:00,1
2019-03-03 10:45:00,1
2019-03-03 11:08:00,1
2019-03-03 11:49:00,1
2019-03-03 12:18:00,1
2019-06-11 19:29:00,1
2019-06-19 12:14:00,1
2019-06-27 13:18:00,1
2019-06-27 13:37:00,1
2019-06-27 13:41:00,1
2019-11-20 20:03:00,2
2019-11-20 20:04:00,1
2019-11-20 20:05:00,2
2019-11-20 20:06:00,1
