6,"SELECT s.objid, s.ra, s.dec, s.psfMag_r FROM Star s JOIN dbo.fGetNearbyObjEq (#, #, #) AS N on N.objID = s.objID WHERE psfMAG_r < # AND SQRT (POWER (( ((psfMag_u-extinction_u) - (psfMag_g-extinction_g) )#) , #) + POWER (( ((psfMag_g-extinction_g) - (psfMag_r-extinction_r) )#) , #) + POWER (( ((psfMag_r-extinction_r) - (psfMag_i-extinction_i) )#) , #) + POWER (( ((psfMag_i-extinction_i) - (psfMag_z-extinction_z) )#) , #) ) < #"
2019-09-02 21:31:00,3
2019-09-02 21:53:00,1
2019-09-02 21:58:00,1
2019-09-02 23:11:00,1
