90,"SELECT top # # + cast (p.objId as varchar (#) ) + # + cast (p.objId as varchar (#) ) + # as objID, p.run, p.rerun, p.camcol, p.field, p.obj, p.type, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z FROM fGetObjFromRect (#, #, #, #) n, PhotoPrimary p WHERE n.objID = p.objID"
2019-01-22 13:10:00,2
2019-02-16 23:39:00,2
2019-02-17 00:15:00,2
2019-02-17 00:41:00,2
2019-02-17 09:48:00,1
2019-02-17 11:52:00,1
2019-02-18 20:37:00,6
2019-02-18 21:50:00,2
2019-02-26 04:54:00,1
2019-03-07 14:21:00,1
2019-03-11 18:36:00,1
2019-03-22 01:20:00,1
2019-04-01 21:41:00,1
2019-04-01 21:42:00,2
2019-04-01 21:45:00,2
2019-04-01 21:46:00,1
2019-04-01 21:56:00,1
2019-04-01 22:02:00,6
2019-04-01 22:07:00,1
2019-04-01 22:08:00,2
2019-04-01 22:15:00,1
2019-04-04 11:44:00,1
2019-04-10 15:49:00,1
2019-04-30 05:56:00,1
2019-04-30 05:59:00,1
2019-04-30 15:39:00,1
2019-05-05 23:29:00,1
2019-05-07 23:49:00,1
2019-06-05 21:40:00,1
2019-07-07 11:02:00,3
2019-07-12 16:00:00,1
2019-07-19 06:35:00,1
2019-07-22 05:51:00,1
2019-08-15 01:47:00,1
2019-08-15 01:50:00,1
2019-08-27 11:19:00,1
2019-08-27 11:40:00,1
2019-08-27 11:49:00,1
2019-08-27 11:58:00,1
2019-08-27 14:42:00,1
2019-08-27 15:04:00,1
2019-08-27 15:19:00,1
2019-08-27 15:31:00,1
2019-08-27 17:59:00,1
2019-08-27 18:42:00,1
2019-08-27 18:51:00,1
2019-08-27 19:02:00,1
2019-08-27 19:08:00,1
2019-08-27 19:14:00,1
2019-08-29 17:11:00,1
2019-09-04 04:12:00,2
2019-09-04 04:13:00,1
2019-09-11 18:59:00,1
2019-09-25 11:28:00,1
2019-10-09 14:47:00,1
2019-10-21 19:49:00,1
2019-10-21 19:50:00,1
2019-10-21 19:51:00,1
2019-10-22 14:12:00,1
2019-10-24 16:20:00,1
2019-10-24 16:59:00,1
2019-10-24 19:29:00,2
2019-10-25 02:51:00,1
2019-11-27 03:59:00,1
2019-12-12 18:00:00,1
2019-12-13 14:10:00,1
2019-12-17 15:29:00,1
2019-12-17 16:57:00,1
