78,"select top # z, ra, dec, bestObjID from specObj where (class = # or class = #) AND z > # AND zWarning = #"
2019-01-08 09:24:00,1
2019-01-17 16:45:00,2
2019-02-02 09:24:00,1
2019-02-13 15:36:00,1
2019-02-21 05:15:00,1
2019-02-21 17:51:00,1
2019-02-21 19:35:00,1
2019-02-21 21:40:00,1
2019-03-11 09:02:00,2
2019-03-13 14:03:00,1
2019-03-13 14:22:00,1
2019-03-22 18:11:00,1
2019-03-22 19:44:00,2
2019-03-22 20:02:00,1
2019-04-09 17:16:00,1
2019-04-09 17:25:00,1
2019-04-09 17:26:00,2
2019-05-10 07:34:00,1
2019-05-10 07:59:00,1
2019-05-24 19:45:00,1
2019-06-03 19:43:00,1
2019-06-06 10:00:00,2
2019-06-11 17:39:00,1
2019-06-14 00:05:00,1
2019-06-14 18:05:00,1
2019-06-14 18:15:00,1
2019-06-14 18:16:00,1
2019-06-19 16:19:00,1
2019-06-19 22:19:00,1
2019-06-26 13:57:00,1
2019-06-27 07:11:00,1
2019-06-27 15:25:00,1
2019-07-02 13:09:00,1
2019-07-07 17:24:00,1
2019-07-09 13:10:00,1
2019-07-17 05:47:00,1
2019-07-24 15:01:00,1
2019-07-24 15:20:00,1
2019-07-27 22:28:00,1
2019-07-27 22:30:00,1
2019-08-14 18:31:00,1
2019-08-22 23:46:00,1
2019-09-23 14:11:00,1
2019-09-24 10:56:00,1
2019-09-24 10:58:00,7
2019-09-24 10:59:00,9
2019-10-02 07:38:00,1
2019-10-03 13:57:00,1
2019-10-08 12:17:00,1
2019-10-18 07:56:00,1
2019-10-18 07:57:00,1
2019-10-18 10:04:00,2
2019-10-24 10:24:00,1
2019-11-01 06:20:00,1
2019-11-14 04:20:00,1
2019-11-24 16:44:00,1
2019-11-26 13:19:00,1
2019-12-23 11:04:00,1
