79,"SELECT u.up_col0 as [col0], p.objID, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field, p.obj, dbo.fPhotoTypeN (p.type) as type FROM #x x, #upload u, PhotoTag p WHERE u.up_id = x.up_id and x.objID = p.objID ORDER BY x.up_id"
2019-12-05 01:17:00,1
2019-12-05 01:34:00,1
2019-12-05 02:22:00,1
2019-12-05 02:24:00,1
2019-12-05 02:27:00,2
2019-12-05 02:28:00,1
2019-12-05 02:33:00,1
2019-12-05 02:34:00,1
2019-12-05 02:36:00,1
2019-12-05 02:37:00,1
2019-12-05 02:38:00,1
2019-12-05 02:40:00,1
2019-12-05 02:41:00,1
2019-12-05 02:42:00,1
2019-12-05 02:43:00,1
2019-12-05 02:44:00,1
2019-12-05 02:45:00,1
2019-12-05 02:46:00,2
2019-12-05 02:47:00,1
2019-12-05 02:48:00,1
2019-12-05 02:49:00,1
2019-12-05 02:50:00,1
2019-12-05 02:51:00,1
2019-12-05 02:52:00,1
2019-12-05 02:53:00,1
2019-12-05 02:55:00,1
2019-12-05 02:56:00,1
2019-12-05 06:23:00,1
2019-12-05 06:24:00,1
2019-12-05 06:25:00,1
2019-12-05 06:26:00,1
2019-12-05 06:27:00,1
2019-12-05 06:28:00,1
2019-12-05 06:29:00,1
2019-12-05 06:30:00,1
2019-12-05 06:31:00,1
2019-12-05 06:32:00,1
2019-12-05 06:33:00,2
2019-12-05 06:34:00,1
2019-12-05 06:35:00,1
2019-12-05 06:36:00,1
2019-12-05 06:40:00,1
2019-12-05 06:56:00,1
2019-12-05 06:58:00,1
2019-12-05 06:59:00,1
2019-12-05 07:01:00,1
2019-12-05 07:08:00,1
2019-12-05 07:09:00,1
2019-12-05 07:10:00,1
2019-12-05 07:11:00,1
2019-12-05 07:12:00,1
2019-12-05 07:20:00,1
2019-12-05 07:22:00,1
2019-12-05 07:24:00,1
2019-12-05 07:25:00,1
2019-12-05 07:26:00,2
2019-12-05 07:27:00,1
2019-12-05 07:28:00,2
2019-12-05 07:29:00,1
2019-12-05 07:30:00,1
2019-12-05 07:31:00,1
2019-12-05 07:55:00,1
2019-12-05 07:56:00,2
2019-12-05 07:57:00,1
2019-12-05 07:58:00,1
2019-12-05 08:06:00,1
2019-12-09 01:48:00,1
2019-12-09 04:01:00,1
2019-12-09 04:11:00,1
2019-12-09 10:48:00,1
2019-12-10 01:22:00,1
2019-12-10 23:20:00,1
2019-12-10 23:23:00,1
