278,select * from SDSSConstants
2019-01-01 16:46:00,1
2019-01-03 16:40:00,1
2019-01-09 23:23:00,1
2019-01-10 14:45:00,1
2019-01-10 14:46:00,2
2019-01-10 15:24:00,1
2019-01-15 21:14:00,1
2019-01-16 18:27:00,1
2019-01-23 01:42:00,1
2019-01-24 18:19:00,1
2019-01-29 06:42:00,1
2019-01-30 09:50:00,1
2019-01-30 13:20:00,2
2019-01-30 13:26:00,1
2019-01-31 01:45:00,1
2019-02-01 19:50:00,1
2019-02-10 10:59:00,1
2019-02-10 19:56:00,1
2019-02-12 03:35:00,1
2019-02-13 08:23:00,1
2019-02-13 13:33:00,1
2019-02-15 13:26:00,1
2019-02-18 10:28:00,1
2019-02-20 00:15:00,1
2019-02-24 04:30:00,1
2019-02-24 23:44:00,1
2019-02-25 03:30:00,1
2019-02-26 13:43:00,1
2019-02-27 13:05:00,1
2019-02-27 13:42:00,1
2019-02-27 22:39:00,1
2019-03-01 01:30:00,1
2019-03-01 04:28:00,1
2019-03-01 10:54:00,1
2019-03-01 17:14:00,1
2019-03-01 20:48:00,1
2019-03-05 14:51:00,1
2019-03-06 09:27:00,1
2019-03-07 12:53:00,1
2019-03-07 12:54:00,1
2019-03-08 13:01:00,1
2019-03-13 21:55:00,1
2019-03-16 18:18:00,1
2019-03-19 22:18:00,1
2019-03-21 16:07:00,1
2019-03-21 16:08:00,2
2019-03-23 14:55:00,1
2019-03-24 14:57:00,1
2019-03-24 14:59:00,1
2019-03-24 15:01:00,1
2019-03-24 15:09:00,1
2019-03-24 15:19:00,1
2019-03-24 23:16:00,1
2019-03-25 10:59:00,1
2019-03-26 17:01:00,1
2019-03-29 03:25:00,1
2019-04-01 23:05:00,1
2019-04-02 00:22:00,1
2019-04-04 13:12:00,1
2019-04-04 19:20:00,1
2019-04-05 00:52:00,1
2019-04-05 00:53:00,1
2019-04-05 15:46:00,1
2019-04-05 17:33:00,1
2019-04-06 03:15:00,1
2019-04-06 04:01:00,1
2019-04-06 06:30:00,1
2019-04-06 18:13:00,1
2019-04-07 00:07:00,1
2019-04-07 19:22:00,1
2019-04-08 04:34:00,1
2019-04-10 12:47:00,1
2019-04-12 00:24:00,1
2019-04-12 10:52:00,1
2019-04-13 06:22:00,1
2019-04-15 05:55:00,1
2019-04-19 21:42:00,1
2019-04-20 05:07:00,1
2019-04-25 14:15:00,1
2019-04-25 14:16:00,1
2019-04-26 08:51:00,1
2019-04-26 16:32:00,1
2019-04-28 22:17:00,1
2019-05-01 14:30:00,1
2019-05-02 08:05:00,1
2019-05-04 22:53:00,1
2019-05-09 11:56:00,1
2019-05-11 03:56:00,1
2019-05-12 00:33:00,1
2019-05-16 23:28:00,1
2019-05-17 20:29:00,1
2019-05-24 14:06:00,1
2019-05-25 06:12:00,1
2019-05-28 12:22:00,1
2019-05-30 09:25:00,1
2019-05-31 20:23:00,1
2019-06-01 16:44:00,1
2019-06-04 13:50:00,1
2019-06-06 15:35:00,1
2019-06-07 16:08:00,1
2019-06-10 14:08:00,1
2019-06-16 02:55:00,1
2019-06-16 04:04:00,1
2019-06-16 09:25:00,1
2019-06-16 14:06:00,1
2019-06-18 08:38:00,1
2019-06-18 18:18:00,1
2019-06-19 08:34:00,1
2019-06-19 08:35:00,1
2019-06-19 23:31:00,2
2019-06-19 23:38:00,1
2019-06-20 18:14:00,1
2019-06-22 03:49:00,1
2019-06-22 21:05:00,1
2019-06-24 02:48:00,1
2019-06-25 02:26:00,1
2019-06-26 13:38:00,1
2019-06-26 19:24:00,1
2019-06-29 08:05:00,1
2019-07-01 09:13:00,1
2019-07-01 12:37:00,1
2019-07-01 15:11:00,1
2019-07-02 21:18:00,1
2019-07-03 14:58:00,1
2019-07-04 15:54:00,1
2019-07-05 14:12:00,1
2019-07-06 14:45:00,1
2019-07-08 15:32:00,1
2019-07-10 10:08:00,1
2019-07-12 02:46:00,1
2019-07-13 19:21:00,1
2019-07-16 16:59:00,1
2019-07-17 12:40:00,1
2019-07-20 18:10:00,1
2019-07-24 13:19:00,1
2019-07-26 11:43:00,2
2019-07-26 18:22:00,1
2019-07-27 04:10:00,1
2019-07-29 03:24:00,1
2019-07-29 21:40:00,1
2019-07-30 19:15:00,1
2019-07-30 21:54:00,1
2019-08-01 12:22:00,1
2019-08-01 12:54:00,1
2019-08-02 04:26:00,1
2019-08-02 08:40:00,1
2019-08-03 10:20:00,1
2019-08-03 19:45:00,1
2019-08-05 04:05:00,1
2019-08-05 04:19:00,1
2019-08-05 05:27:00,1
2019-08-05 14:21:00,1
2019-08-05 19:05:00,1
2019-08-07 18:48:00,1
2019-08-14 03:42:00,1
2019-08-20 18:04:00,1
2019-08-23 15:47:00,1
2019-08-26 11:57:00,1
2019-08-27 09:38:00,1
2019-08-28 19:41:00,1
2019-08-29 17:05:00,1
2019-08-29 22:24:00,1
2019-09-01 13:41:00,1
2019-09-01 23:39:00,1
2019-09-02 00:27:00,1
2019-09-04 13:15:00,1
2019-09-06 04:21:00,1
2019-09-08 04:25:00,1
2019-09-09 12:56:00,1
2019-09-13 00:21:00,1
2019-09-13 19:41:00,1
2019-09-14 11:50:00,1
2019-09-14 20:22:00,1
2019-09-15 19:15:00,1
2019-09-15 21:52:00,1
2019-09-16 02:02:00,1
2019-09-17 01:34:00,1
2019-09-17 01:48:00,1
