226,"SELECT TOP # photoobj.run, photoobj.camcol, photoobj.field, photoobj.obj, photoobj.psfmag_u, photoobj.psfmag_g, photoobj.psfmag_r, photoobj.psfmag_i, photoobj.psfmag_z, photoobj.ra as photoobj_ra, photoobj.dec as photoobj_dec, star.apstar_id, star.ra as star_ra, star.dec as star_dec, aspcap.teff, aspcap.metals, aspcap.logg FROM apogeeStar AS star CROSS APPLY dbo.fGetNearestObjEq (star.ra, star.dec, #) AS near JOIN photoobj ON near.objid = photoobj.objid JOIN aspcapStar as aspcap ON star.apstar_id = aspcap.apstar_id WHERE star.glat > #. and aspcap.teff > #"
2019-01-01 10:13:00,1
2019-01-02 02:02:00,1
2019-01-05 09:54:00,1
2019-01-07 23:32:00,1
2019-01-08 03:30:00,1
2019-01-08 07:00:00,1
2019-01-10 22:50:00,1
2019-01-24 13:55:00,1
2019-01-25 18:00:00,1
2019-01-27 22:55:00,1
2019-01-28 16:22:00,1
2019-01-29 03:53:00,1
2019-02-02 15:54:00,1
2019-02-08 01:33:00,1
2019-02-08 05:26:00,1
2019-02-09 17:36:00,1
2019-02-10 16:51:00,1
2019-02-11 22:25:00,1
2019-02-12 19:58:00,1
2019-02-12 20:01:00,1
2019-02-17 04:50:00,1
2019-02-17 05:22:00,1
2019-02-19 00:18:00,1
2019-02-21 01:06:00,1
2019-02-24 11:53:00,1
2019-02-26 03:03:00,1
2019-02-26 18:51:00,1
2019-02-26 20:06:00,1
2019-02-28 09:02:00,1
2019-03-01 22:12:00,1
2019-03-02 04:57:00,1
2019-03-02 22:41:00,1
2019-03-04 03:03:00,1
2019-03-05 18:34:00,1
2019-03-06 05:13:00,1
2019-03-06 15:00:00,1
2019-03-07 14:16:00,1
2019-03-08 22:15:00,1
2019-03-09 12:28:00,1
2019-03-10 05:07:00,1
2019-03-11 11:22:00,1
2019-03-15 19:58:00,1
2019-03-16 08:49:00,1
2019-03-17 20:10:00,1
2019-03-23 18:59:00,1
2019-03-25 02:31:00,1
2019-03-26 11:22:00,1
2019-03-28 18:47:00,1
2019-03-29 14:34:00,1
2019-03-30 10:06:00,1
2019-03-31 12:52:00,1
2019-04-01 06:24:00,1
2019-04-01 20:18:00,1
2019-04-04 13:48:00,1
2019-04-07 19:23:00,1
2019-04-08 02:47:00,1
2019-04-09 12:28:00,1
2019-04-14 13:15:00,1
2019-04-16 05:15:00,1
2019-04-18 05:52:00,1
2019-04-18 10:18:00,1
2019-04-18 10:19:00,1
2019-04-19 10:03:00,1
2019-04-21 06:22:00,1
2019-04-21 06:23:00,1
2019-04-22 20:04:00,1
2019-04-22 23:45:00,1
2019-04-23 14:32:00,1
2019-04-23 14:33:00,1
2019-04-28 00:35:00,1
2019-04-28 03:57:00,1
2019-04-30 11:54:00,1
2019-05-03 04:43:00,1
2019-05-05 04:22:00,1
2019-05-06 08:56:00,1
2019-05-11 07:48:00,1
2019-05-12 00:07:00,1
2019-05-14 08:34:00,1
2019-05-15 23:19:00,1
2019-05-17 05:08:00,1
2019-05-17 05:14:00,1
2019-05-20 19:42:00,1
2019-05-21 07:03:00,1
2019-05-24 02:15:00,1
2019-05-24 20:12:00,1
2019-05-25 07:41:00,1
2019-05-28 09:06:00,1
2019-05-29 04:51:00,1
2019-05-30 04:21:00,1
2019-05-31 00:49:00,1
2019-05-31 18:02:00,1
2019-06-05 18:54:00,1
2019-06-11 02:01:00,1
2019-06-16 18:03:00,1
2019-06-17 09:53:00,1
2019-06-19 14:33:00,1
2019-06-20 03:59:00,1
2019-06-21 00:53:00,1
2019-06-21 05:36:00,1
2019-06-23 18:06:00,1
2019-06-27 03:14:00,1
2019-06-27 20:25:00,1
2019-06-29 05:36:00,1
2019-06-29 11:48:00,1
2019-07-02 19:08:00,1
2019-07-03 10:23:00,1
2019-07-03 14:23:00,1
2019-07-05 14:16:00,1
2019-07-05 22:29:00,1
2019-07-08 06:03:00,1
2019-07-09 10:12:00,1
2019-07-12 03:38:00,1
2019-07-13 05:07:00,1
2019-07-14 02:30:00,1
2019-07-14 08:17:00,1
2019-07-20 05:26:00,1
2019-07-21 06:55:00,1
2019-07-25 05:13:00,1
2019-07-28 08:52:00,1
2019-07-30 23:32:00,1
2019-08-04 21:51:00,1
2019-08-09 15:01:00,1
2019-08-11 01:19:00,1
2019-08-12 17:14:00,1
2019-08-16 07:07:00,1
2019-08-18 00:41:00,1
2019-08-19 00:06:00,1
2019-08-22 07:41:00,1
2019-08-23 01:45:00,1
2019-08-27 23:08:00,1
2019-08-28 00:30:00,1
2019-08-29 10:18:00,1
2019-08-30 14:02:00,1
2019-08-31 08:41:00,1
2019-08-31 13:46:00,1
2019-09-01 08:47:00,1
2019-09-02 18:27:00,1
2019-09-05 22:35:00,1
2019-09-06 05:36:00,1
2019-09-07 17:45:00,1
2019-09-10 08:34:00,1
2019-09-12 09:17:00,1
2019-09-12 09:47:00,1
2019-09-15 08:30:00,1
2019-09-18 14:24:00,1
2019-09-18 18:07:00,1
2019-09-18 19:32:00,1
2019-09-20 01:02:00,1
2019-09-21 13:26:00,1
2019-09-23 06:05:00,1
2019-09-24 06:23:00,1
2019-09-26 05:14:00,1
2019-09-29 22:35:00,1
2019-10-02 07:26:00,1
2019-10-03 20:25:00,1
2019-10-08 03:53:00,1
2019-10-09 17:28:00,1
2019-10-10 10:34:00,1
2019-10-17 13:15:00,1
2019-10-19 02:05:00,1
2019-10-21 00:24:00,1
2019-10-21 11:09:00,1
2019-10-21 18:28:00,1
2019-10-22 21:01:00,1
2019-10-23 00:06:00,1
2019-10-23 14:56:00,1
2019-10-23 17:36:00,1
2019-10-24 15:24:00,1
2019-10-24 21:28:00,1
2019-10-24 23:52:00,1
2019-10-25 00:13:00,1
2019-10-26 05:59:00,1
2019-10-26 18:54:00,2
2019-10-30 20:53:00,1
2019-11-01 05:30:00,1
2019-11-02 00:25:00,1
2019-11-04 14:08:00,1
2019-11-08 21:19:00,1
2019-11-09 16:47:00,1
2019-11-10 02:38:00,1
2019-11-13 19:20:00,1
2019-11-13 22:31:00,1
2019-11-15 03:00:00,1
2019-11-16 13:16:00,1
2019-11-18 23:15:00,1
2019-11-18 23:54:00,1
2019-11-19 19:26:00,1
2019-11-21 20:12:00,1
2019-11-22 09:03:00,1
2019-11-22 17:28:00,1
2019-11-27 13:00:00,1
2019-11-28 06:50:00,3
2019-12-01 00:36:00,1
2019-12-02 11:40:00,1
2019-12-04 11:17:00,1
2019-12-05 00:18:00,1
2019-12-05 00:20:00,1
2019-12-05 01:09:00,1
2019-12-05 03:03:00,1
2019-12-05 11:05:00,1
2019-12-05 11:07:00,1
2019-12-06 13:15:00,1
2019-12-06 14:26:00,1
2019-12-06 22:33:00,1
2019-12-07 00:08:00,1
2019-12-07 09:37:00,1
2019-12-07 19:27:00,1
