10714,select fieldid from field where cccol_u between -.# and -.# and skyframes_r between # and #
2019-01-24 13:28:00,7
2019-01-24 13:29:00,6
2019-01-24 13:32:00,9
2019-01-24 13:33:00,9
2019-01-24 13:34:00,1
2019-01-24 13:36:00,3
2019-01-24 13:37:00,4
2019-01-24 13:39:00,2
2019-01-24 13:44:00,6
2019-01-24 13:46:00,2
2019-01-24 13:54:00,1
2019-01-24 13:55:00,4
2019-01-24 13:57:00,2
2019-01-24 13:59:00,2
2019-01-24 14:00:00,7
2019-01-24 14:16:00,1
2019-01-24 14:17:00,9
2019-01-24 14:18:00,12
2019-01-24 14:19:00,3
2019-01-24 14:20:00,3
2019-01-24 14:21:00,6
2019-01-24 14:28:00,4
2019-01-24 14:29:00,1
2019-01-24 14:30:00,1
2019-01-24 14:32:00,1
2019-01-24 14:33:00,6
2019-01-24 14:34:00,2
2019-01-24 14:37:00,3
2019-01-24 14:38:00,3
2019-01-24 14:39:00,1
2019-01-24 14:40:00,8
2019-01-24 14:41:00,1
2019-01-24 14:42:00,3
2019-01-24 14:43:00,13
2019-01-24 14:44:00,18
2019-01-24 14:48:00,17
2019-01-24 14:53:00,1
2019-01-24 15:04:00,88
2019-01-24 15:05:00,26
2019-01-24 15:06:00,219
2019-01-24 15:07:00,207
2019-01-24 15:08:00,187
2019-01-24 15:09:00,42
2019-01-24 15:10:00,39
2019-01-24 15:11:00,21
2019-01-24 15:12:00,5
2019-01-24 15:13:00,20
2019-01-24 15:14:00,6
2019-01-24 15:19:00,2
2019-01-24 15:20:00,17
2019-01-24 15:21:00,16
2019-01-24 15:22:00,36
2019-01-24 15:23:00,46
2019-01-24 15:24:00,45
2019-01-24 15:25:00,39
2019-01-24 15:26:00,43
2019-01-24 15:27:00,20
2019-01-24 15:28:00,1
2019-01-24 15:37:00,24
2019-01-24 15:38:00,32
2019-01-24 15:39:00,34
2019-01-24 15:40:00,23
2019-01-24 15:52:00,6
2019-01-24 15:53:00,11
2019-01-24 16:29:00,3
2019-01-24 16:37:00,8
2019-01-24 16:42:00,1
2019-01-24 16:44:00,10
2019-01-24 16:45:00,25
2019-01-24 17:09:00,6
2019-01-24 17:10:00,9
2019-01-24 17:13:00,9
2019-01-24 17:14:00,3
2019-01-24 17:19:00,3
2019-01-24 17:20:00,1
2019-01-24 17:22:00,1
2019-01-24 17:30:00,2
2019-01-24 17:31:00,5
2019-01-24 17:33:00,2
2019-01-24 17:35:00,9
2019-01-24 17:46:00,5
2019-01-24 17:47:00,13
2019-01-24 17:48:00,6
2019-01-24 17:49:00,1
2019-01-24 17:50:00,13
2019-01-24 17:58:00,4
2019-01-24 18:00:00,2
2019-01-24 18:02:00,10
2019-01-24 18:04:00,3
2019-01-24 18:06:00,5
2019-01-24 18:07:00,2
2019-01-24 18:08:00,3
2019-01-24 18:10:00,9
2019-01-24 18:12:00,17
2019-01-24 18:13:00,7
2019-01-24 18:14:00,6
2019-01-24 18:18:00,21
2019-01-24 18:23:00,1
2019-01-24 18:33:00,67
2019-01-24 18:34:00,22
2019-01-24 18:35:00,169
2019-01-24 18:36:00,207
2019-01-24 18:37:00,248
2019-01-24 18:38:00,109
2019-01-24 18:39:00,29
2019-01-24 18:40:00,25
2019-01-24 18:42:00,21
2019-01-24 18:43:00,11
2019-01-24 18:48:00,3
2019-01-24 18:49:00,12
2019-01-24 18:50:00,28
2019-01-24 18:51:00,37
2019-01-24 18:52:00,52
2019-01-24 18:53:00,42
2019-01-24 18:54:00,48
2019-01-24 18:55:00,47
2019-01-24 18:56:00,24
2019-01-24 18:57:00,6
2019-01-24 19:06:00,13
2019-01-24 19:07:00,29
2019-01-24 19:08:00,38
2019-01-24 19:09:00,29
2019-01-24 19:21:00,5
2019-01-24 19:22:00,11
2019-01-24 19:59:00,1
2019-01-24 20:06:00,4
2019-01-24 20:07:00,1
2019-01-24 20:12:00,3
2019-01-24 20:13:00,11
2019-01-24 20:14:00,44
2019-01-24 20:23:00,3
2019-01-24 20:24:00,5
2019-01-24 20:25:00,2
2019-01-24 20:30:00,5
2019-01-24 20:32:00,8
2019-01-24 20:43:00,17
2019-01-24 20:53:00,9
2019-01-24 20:54:00,4
2019-01-24 20:55:00,2
2019-01-24 21:02:00,74
2019-01-24 21:05:00,5
2019-01-24 21:06:00,1
2019-01-24 21:11:00,13
2019-01-24 21:12:00,23
2019-01-24 21:13:00,1
2019-01-24 21:19:00,6
2019-01-24 21:20:00,23
2019-01-24 21:21:00,1
2019-01-24 21:32:00,179
2019-01-24 21:33:00,135
2019-01-24 21:34:00,1
2019-01-24 21:35:00,5
2019-01-24 21:41:00,1
2019-01-24 21:46:00,62
2019-01-24 21:48:00,2
2019-01-24 22:01:00,6
2019-01-24 22:02:00,4
2019-01-24 22:03:00,10
2019-01-24 22:20:00,9
2019-01-24 22:21:00,21
2019-01-24 22:28:00,8
2019-01-24 22:32:00,2
2019-01-24 22:34:00,9
2019-01-24 22:35:00,4
2019-01-24 22:37:00,1
2019-01-24 22:42:00,15
2019-01-24 22:43:00,8
2019-01-24 22:44:00,6
2019-01-24 22:45:00,3
2019-01-24 23:02:00,2
2019-01-24 23:12:00,1
2019-01-24 23:22:00,1
2019-01-24 23:24:00,5
2019-01-24 23:28:00,1
2019-01-24 23:29:00,6
2019-01-24 23:59:00,2
2019-01-25 00:00:00,6
2019-01-25 00:01:00,19
2019-01-25 00:15:00,11
2019-01-25 00:17:00,2
2019-01-25 00:18:00,3
2019-01-25 00:20:00,8
2019-01-25 00:27:00,11
2019-01-25 00:28:00,6
2019-01-25 00:31:00,2
2019-01-25 00:32:00,5
2019-01-25 00:33:00,4
2019-01-25 00:34:00,8
2019-01-25 00:35:00,2
2019-01-25 00:36:00,5
2019-01-25 00:37:00,3
2019-01-25 00:44:00,12
2019-01-25 00:45:00,6
2019-01-25 00:46:00,1
2019-01-25 00:49:00,23
2019-01-25 00:50:00,4
2019-01-25 00:51:00,7
2019-01-25 00:58:00,1
2019-01-25 01:02:00,29
2019-01-25 01:05:00,26
2019-01-25 01:08:00,53
2019-01-25 01:19:00,12
2019-01-25 01:31:00,4
2019-01-25 01:40:00,1
2019-01-25 01:43:00,3
2019-01-25 01:44:00,32
2019-01-25 01:45:00,63
2019-01-25 01:46:00,51
2019-01-25 01:47:00,25
2019-01-25 01:49:00,8
2019-01-25 01:50:00,1
2019-01-25 01:53:00,59
2019-01-25 01:54:00,10
2019-01-25 02:00:00,1
2019-01-25 02:01:00,34
2019-01-25 02:02:00,17
2019-01-25 02:04:00,71
2019-01-25 02:05:00,14
2019-01-25 02:08:00,29
2019-01-25 02:10:00,75
2019-01-25 02:11:00,12
2019-01-25 02:12:00,116
2019-01-25 02:14:00,4
2019-01-25 02:18:00,1
2019-01-25 02:19:00,23
2019-01-25 02:21:00,14
2019-01-25 02:23:00,6
2019-01-25 02:24:00,7
2019-01-25 02:26:00,3
2019-01-25 02:27:00,6
2019-01-25 02:28:00,18
2019-01-25 02:29:00,5
2019-01-25 02:30:00,142
2019-01-25 02:32:00,14
2019-01-25 02:33:00,1
2019-01-25 02:35:00,13
2019-01-25 02:36:00,16
2019-01-25 02:38:00,1
2019-01-25 02:47:00,56
2019-01-25 02:48:00,11
2019-01-25 02:49:00,24
2019-01-25 02:50:00,55
2019-01-25 02:52:00,10
2019-01-25 02:53:00,7
2019-01-25 02:54:00,104
2019-01-25 02:55:00,113
2019-01-25 03:10:00,7
2019-01-25 03:11:00,3
2019-01-25 03:13:00,4
2019-01-25 03:14:00,17
2019-01-25 03:21:00,11
2019-01-25 03:22:00,170
2019-01-25 03:25:00,30
2019-01-25 03:31:00,1
2019-01-25 03:51:00,1
2019-01-25 04:01:00,16
2019-01-25 04:02:00,34
2019-01-25 04:19:00,6
2019-01-25 04:23:00,2
2019-01-25 04:26:00,4
2019-01-25 04:38:00,5
2019-01-25 04:40:00,2
2019-01-25 04:41:00,6
2019-01-25 04:42:00,3
2019-01-25 04:43:00,2
2019-01-25 04:44:00,1
2019-01-25 04:45:00,2
2019-01-25 04:55:00,7
2019-01-25 04:57:00,21
2019-01-25 04:58:00,41
2019-01-25 05:03:00,1
2019-01-25 05:06:00,12
2019-01-25 05:07:00,47
2019-01-25 05:08:00,10
2019-01-25 05:09:00,2
2019-01-25 05:15:00,1
2019-01-25 05:16:00,1
2019-01-25 05:25:00,15
2019-01-25 05:26:00,4
2019-01-25 05:50:00,1
2019-01-25 05:52:00,2
2019-01-25 05:56:00,9
2019-01-25 05:57:00,137
2019-01-25 05:58:00,227
2019-01-25 05:59:00,110
2019-01-25 06:00:00,4
2019-01-25 06:10:00,122
2019-01-25 06:11:00,8
2019-01-25 06:16:00,13
2019-01-25 07:28:00,3
2019-01-25 07:49:00,1
2019-01-25 07:50:00,4
2019-01-25 08:32:00,1
2019-01-25 09:14:00,7
2019-01-25 11:43:00,3
2019-01-25 12:51:00,3
2019-01-25 12:52:00,12
2019-01-25 12:53:00,2
2019-01-25 12:55:00,1
2019-01-25 12:56:00,2
2019-01-25 12:58:00,2
2019-01-25 12:59:00,4
2019-01-25 13:04:00,3
2019-01-25 13:21:00,20
2019-01-25 13:22:00,21
2019-01-25 13:27:00,1
2019-01-25 13:30:00,1
2019-01-25 13:35:00,1
2019-01-25 13:37:00,5
2019-01-25 13:48:00,1
2019-01-25 13:52:00,4
2019-01-25 13:53:00,4
2019-01-25 13:56:00,1
2019-01-25 13:58:00,2
2019-01-25 13:59:00,6
2019-01-25 14:03:00,1
2019-01-25 14:05:00,8
2019-01-25 14:06:00,5
2019-01-25 14:07:00,5
2019-01-25 14:20:00,13
2019-01-25 14:30:00,2
2019-01-25 14:35:00,4
2019-01-25 14:37:00,1
2019-01-25 14:38:00,5
2019-01-25 14:39:00,7
2019-01-25 14:46:00,3
2019-01-25 14:47:00,1
2019-01-25 14:48:00,16
2019-01-25 14:52:00,7
2019-01-25 14:53:00,1
2019-01-25 14:54:00,1
2019-01-25 14:55:00,16
2019-01-25 14:56:00,4
2019-01-25 14:58:00,12
2019-01-25 14:59:00,10
2019-01-25 15:00:00,16
2019-01-25 15:02:00,8
2019-01-25 15:03:00,4
2019-01-25 15:07:00,7
2019-01-25 15:08:00,8
2019-01-25 15:09:00,10
2019-01-25 15:10:00,3
2019-01-25 15:11:00,5
2019-01-25 15:13:00,2
2019-01-25 15:14:00,14
2019-01-25 15:15:00,4
2019-01-25 15:17:00,14
2019-01-25 15:18:00,3
2019-01-25 15:19:00,6
2019-01-25 15:21:00,4
2019-01-25 15:22:00,6
2019-01-25 15:23:00,12
2019-01-25 15:24:00,22
2019-01-25 15:27:00,8
2019-01-25 15:28:00,15
2019-01-25 15:29:00,9
2019-01-25 15:30:00,3
2019-01-25 15:31:00,4
2019-01-25 15:32:00,138
2019-01-25 15:33:00,2
2019-01-25 15:34:00,18
2019-01-25 15:35:00,1
2019-01-25 15:36:00,18
2019-01-25 15:37:00,4
2019-01-25 15:38:00,2
2019-01-25 15:39:00,6
2019-01-25 15:41:00,48
2019-01-25 15:42:00,34
2019-01-25 15:43:00,60
2019-01-25 15:44:00,5
2019-01-25 15:47:00,4
2019-01-25 15:50:00,17
2019-01-25 15:52:00,10
2019-01-25 15:54:00,68
2019-01-25 15:55:00,50
2019-01-25 15:56:00,9
2019-01-25 15:58:00,6
2019-01-25 16:00:00,3
2019-01-25 16:01:00,3
2019-01-25 16:03:00,10
2019-01-25 16:09:00,4
2019-01-25 16:11:00,31
2019-01-25 16:12:00,13
2019-01-25 16:15:00,16
2019-01-25 16:22:00,1
2019-01-25 16:24:00,6
2019-01-25 16:25:00,3
