2,"select p.*, s.z as zspec, s.* from Galaxy as p, SpecObj as s where p.mode = # AND s.zWarning = # AND p.specObjId = s.specObjId AND p.dec > # AND p.dec < # AND p.clean = #"
2019-09-09 09:55:00,1
2019-09-09 09:56:00,1
