24,"SELECT specObjID, ra, dec, plate, mjd, fiberid FROM SpecObj WHERE ra BETWEEN # AND # AND dec BETWEEN # AND #"
2019-03-07 09:14:00,1
2019-03-07 09:15:00,1
2019-03-07 09:28:00,1
2019-03-07 09:29:00,1
2019-03-07 09:31:00,1
2019-03-12 12:35:00,1
2019-03-26 11:06:00,1
2019-03-26 15:41:00,1
2019-03-27 02:21:00,2
2019-03-27 09:43:00,1
2019-03-27 09:45:00,1
2019-03-27 10:14:00,1
2019-03-27 10:19:00,1
2019-03-27 10:22:00,1
2019-03-30 16:04:00,1
2019-04-01 05:44:00,3
2019-04-01 05:47:00,1
2019-07-09 11:07:00,1
2019-10-11 18:14:00,1
2019-10-20 12:07:00,1
2019-10-23 09:35:00,1
