4,"select top # p.objid, p.ra, p.dec, p.g, s.z as redshift from galaxy p, specobj s, dbo.fgetNearByObjEq (#, #) n where p.objid = s.bestobjid and p.objid = n.objid and s.bestobjid = n.objid and s.z BETWEEN # AND # order by p.g"
2019-03-11 02:27:00,2
2019-03-11 02:31:00,1
2019-03-11 02:33:00,1
