3,"SELECT TOP # p.extinction_g, p.extinction_r, p.petroMag_g, p.petroMag_r, p.petroMagErr_r, p.petroR5#_r, p.petroR9#_r, IS# (s.velDisp, #) as velDisp, IS# (s.velDispErr, #) as velDispErr, IS# (s.z, #) as redshift, IS# (s.zErr, #) as redshiftErr FROM ..PhotoObj AS p LEFT OUTER JOIN ..SpecObj s ON p.objID = s.bestObjID WHERE (p.type = #)"
2019-04-09 10:51:00,1
2019-04-09 10:52:00,2
