4,"SELECT TOP # ra, dec, modelMag_g FROM PhotoTag WHERE (type = #) AND (modelMag_g between # and #) order by modelMag_g"
2019-03-22 20:23:00,2
2019-03-22 20:24:00,1
2019-03-22 20:27:00,1
