104,"select top # objid, modelmag_u, modelmag_g, modelmag_r, modelmag_i, modelmag_z, z from SpecPhoto where specclass = # and zconf > .#"
2019-01-16 02:25:00,1
2019-01-16 02:57:00,1
2019-01-16 02:58:00,1
2019-01-27 13:24:00,1
2019-01-27 13:25:00,1
2019-01-28 18:05:00,1
2019-02-04 19:11:00,1
2019-02-12 00:19:00,1
2019-03-21 02:11:00,2
2019-04-01 11:39:00,1
2019-04-04 23:06:00,1
2019-04-09 12:30:00,1
2019-04-23 15:23:00,1
2019-04-24 13:14:00,1
2019-04-24 13:15:00,1
2019-05-01 19:19:00,1
2019-05-01 19:22:00,2
2019-05-01 19:23:00,1
2019-05-07 11:55:00,4
2019-05-07 11:57:00,2
2019-05-07 11:58:00,1
2019-05-07 12:02:00,1
2019-05-08 11:59:00,1
2019-05-08 12:05:00,1
2019-05-08 12:06:00,1
2019-05-13 11:51:00,1
2019-05-13 11:54:00,2
2019-05-13 11:56:00,1
2019-05-13 11:59:00,1
2019-05-15 11:47:00,1
2019-05-28 17:28:00,1
2019-05-29 18:29:00,1
2019-05-29 18:31:00,1
2019-05-31 15:33:00,1
2019-05-31 16:06:00,2
2019-06-01 17:01:00,1
2019-06-03 16:08:00,1
2019-06-03 17:06:00,1
2019-06-06 03:57:00,1
2019-06-20 16:52:00,1
2019-06-20 16:54:00,1
2019-06-20 21:56:00,1
2019-06-21 09:09:00,1
2019-06-21 09:10:00,1
2019-06-21 18:49:00,1
2019-06-26 15:59:00,1
2019-06-26 16:00:00,1
2019-06-26 19:21:00,1
2019-06-26 19:32:00,1
2019-06-26 19:34:00,1
2019-06-27 19:31:00,1
2019-06-27 19:32:00,1
2019-07-08 15:13:00,1
2019-07-09 14:35:00,1
2019-07-09 19:34:00,1
2019-07-09 20:03:00,1
2019-07-10 16:35:00,1
2019-07-11 05:47:00,2
2019-07-11 05:48:00,1
2019-07-12 15:01:00,1
2019-07-12 15:08:00,1
2019-07-12 17:15:00,1
2019-07-12 20:34:00,1
2019-07-12 20:39:00,2
2019-07-16 13:25:00,1
2019-08-18 22:29:00,1
2019-08-20 12:57:00,1
2019-08-20 12:59:00,1
2019-08-20 13:00:00,1
2019-08-20 13:01:00,1
2019-08-20 13:14:00,1
2019-08-20 13:15:00,1
2019-08-20 13:16:00,1
2019-08-20 13:23:00,1
2019-09-09 05:46:00,1
2019-10-15 14:32:00,1
2019-10-24 13:01:00,1
2019-10-24 13:03:00,1
2019-11-07 14:32:00,1
2019-11-07 14:33:00,1
2019-11-11 00:23:00,1
2019-11-12 12:27:00,1
2019-12-19 18:29:00,1
2019-12-19 18:31:00,1
2019-12-19 18:40:00,4
2019-12-19 18:44:00,1
2019-12-19 18:46:00,1
2019-12-19 18:49:00,1
2019-12-19 19:01:00,1
2019-12-19 19:05:00,1
2019-12-19 19:10:00,1
