314,"select distinct p.run, p.rerun, p.camcol, p.field from dbo.fGetNearbyObjeq (#, #, #) p"
2019-01-10 12:59:00,1
2019-01-10 13:20:00,1
2019-01-10 14:27:00,1
2019-01-11 03:51:00,1
2019-01-11 03:53:00,1
2019-01-11 03:57:00,1
2019-01-11 06:33:00,1
2019-01-11 06:34:00,1
2019-01-11 06:35:00,1
2019-01-11 06:36:00,2
2019-01-11 08:11:00,1
2019-01-11 08:12:00,1
2019-01-11 08:13:00,1
2019-01-11 08:14:00,2
2019-01-19 12:05:00,1
2019-01-19 12:27:00,1
2019-01-19 12:28:00,1
2019-01-19 12:30:00,1
2019-01-19 12:31:00,1
2019-01-19 12:32:00,1
2019-01-19 12:33:00,1
2019-01-19 12:34:00,1
2019-01-19 12:36:00,1
2019-01-19 12:37:00,1
2019-01-19 12:38:00,1
2019-01-19 12:39:00,1
2019-01-19 12:40:00,1
2019-01-19 12:41:00,1
2019-01-19 12:42:00,1
2019-01-19 12:46:00,1
2019-01-19 12:47:00,1
2019-01-19 12:48:00,1
2019-01-19 12:49:00,1
2019-01-19 12:50:00,1
2019-01-19 12:51:00,2
2019-01-19 12:52:00,2
2019-01-19 12:54:00,1
2019-01-19 12:56:00,1
2019-01-19 12:57:00,2
2019-01-20 02:49:00,1
2019-01-20 02:53:00,1
2019-01-20 02:59:00,1
2019-01-20 06:27:00,1
2019-01-20 06:28:00,1
2019-01-20 08:42:00,1
2019-01-20 08:47:00,2
2019-01-20 08:53:00,1
2019-01-20 08:55:00,1
2019-01-20 08:57:00,1
2019-01-20 09:01:00,1
2019-01-21 03:01:00,1
2019-01-21 03:02:00,1
2019-01-21 03:03:00,1
2019-01-21 03:04:00,1
2019-01-21 03:05:00,2
2019-01-21 03:07:00,1
2019-01-21 03:11:00,1
2019-01-21 03:13:00,1
2019-01-21 03:14:00,1
2019-01-21 03:15:00,1
2019-01-21 03:18:00,1
2019-01-21 03:19:00,1
2019-01-21 03:23:00,1
2019-01-21 03:24:00,1
2019-01-21 03:27:00,1
2019-01-21 03:28:00,1
2019-01-21 03:29:00,1
2019-01-21 03:30:00,1
2019-01-21 03:32:00,1
2019-01-21 03:35:00,1
2019-01-21 03:36:00,1
2019-01-21 03:38:00,1
2019-01-21 03:41:00,1
2019-01-21 03:45:00,1
2019-01-21 03:46:00,1
2019-01-21 03:49:00,1
2019-01-21 03:54:00,1
2019-01-21 03:59:00,1
2019-01-21 04:02:00,1
2019-01-21 04:03:00,1
2019-01-21 04:04:00,1
2019-01-21 04:07:00,1
2019-01-21 04:14:00,1
2019-01-21 04:16:00,1
2019-01-21 04:17:00,1
2019-01-21 04:18:00,1
2019-01-21 04:19:00,1
2019-01-21 04:21:00,1
2019-01-21 04:24:00,1
2019-01-21 04:25:00,1
2019-01-21 04:28:00,1
2019-01-21 04:31:00,1
2019-01-21 04:33:00,1
2019-01-21 04:34:00,1
2019-01-21 04:35:00,1
2019-01-21 04:38:00,1
2019-01-21 04:39:00,1
2019-01-21 04:40:00,1
2019-01-21 04:41:00,2
2019-01-21 04:42:00,1
2019-01-21 04:43:00,1
2019-01-21 04:44:00,1
2019-01-21 04:45:00,1
2019-01-21 04:50:00,1
2019-01-21 04:52:00,1
2019-01-21 04:53:00,1
2019-01-21 04:54:00,1
2019-01-21 04:57:00,1
2019-01-21 04:59:00,1
2019-01-21 05:01:00,1
2019-01-21 05:02:00,2
2019-01-21 05:03:00,1
2019-01-21 05:04:00,1
2019-01-21 05:06:00,1
2019-01-21 05:07:00,1
2019-01-21 05:08:00,1
2019-01-21 05:09:00,1
2019-01-21 05:10:00,1
2019-01-21 05:11:00,1
2019-01-21 07:30:00,1
2019-01-21 07:31:00,1
2019-01-21 07:32:00,1
2019-01-21 07:33:00,1
2019-01-21 07:34:00,1
2019-01-21 07:35:00,2
2019-01-21 07:37:00,1
2019-01-21 07:39:00,1
2019-01-21 07:42:00,1
2019-01-21 07:43:00,2
2019-01-21 07:44:00,1
2019-01-21 07:45:00,1
2019-01-21 07:46:00,1
2019-01-21 07:47:00,1
2019-01-21 07:49:00,2
2019-01-21 07:51:00,1
2019-01-21 07:54:00,1
