48,"SELECT ra, dec, fiberMag_g, fiberMagErr_g, fiberMag_r, fiberMagErr_r FROM star WHERE (ra between # and #) and (dec between # and #) and (petroMag_g < #) and (petroMag_g> #)"
2019-03-26 15:45:00,1
2019-03-26 16:03:00,1
2019-03-26 16:04:00,1
2019-03-26 16:16:00,1
2019-03-26 16:24:00,1
2019-03-26 16:30:00,1
2019-03-26 16:32:00,1
2019-03-26 16:34:00,1
2019-03-26 16:38:00,1
2019-03-26 18:50:00,1
2019-03-26 18:52:00,1
2019-03-26 18:56:00,1
2019-03-26 19:02:00,1
2019-03-26 19:05:00,1
2019-03-26 19:10:00,1
2019-03-26 19:14:00,1
2019-03-26 19:16:00,1
2019-03-26 19:19:00,1
2019-03-26 19:25:00,1
2019-03-26 19:30:00,1
2019-03-26 19:32:00,1
2019-03-26 19:35:00,1
2019-03-26 19:37:00,1
2019-03-26 19:39:00,1
2019-03-26 19:41:00,1
2019-03-26 19:46:00,1
2019-03-26 19:49:00,1
2019-03-26 19:56:00,1
2019-03-26 19:58:00,1
2019-03-26 20:01:00,1
2019-03-26 20:06:00,1
2019-03-26 20:07:00,1
2019-03-26 20:09:00,1
2019-03-26 20:10:00,1
2019-03-26 20:19:00,1
2019-03-26 20:22:00,1
2019-03-26 20:25:00,1
2019-03-26 20:30:00,1
2019-03-26 20:39:00,1
2019-03-26 20:44:00,1
2019-03-26 22:16:00,1
2019-03-26 22:22:00,1
2019-03-26 23:12:00,1
2019-03-26 23:38:00,1
2019-03-26 23:40:00,2
2019-03-26 23:47:00,1
2019-03-27 01:08:00,1
