6,"select m.objid as objid_file, p.objid, p.ra, p.dec, p.clean, p.type, p.dered_u as u, p.dered_g as g, p.dered_r as r, p.dered_i as i, p.dered_z as z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z into mydb.SAGAN_#_mag from photoobj p, mydb.SAGAN_#_objid m where m.objid = p.objid"
2019-04-24 08:17:00,2
2019-04-24 08:19:00,2
2019-04-24 08:20:00,2
