338509,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-01-04 13:34:00,86
2019-01-04 13:38:00,59
2019-01-04 13:39:00,164
2019-01-04 13:40:00,85
2019-01-04 13:41:00,79
2019-01-04 13:42:00,25
2019-01-04 13:43:00,12
2019-01-04 13:44:00,12
2019-01-04 13:45:00,124
2019-01-04 13:46:00,269
2019-01-04 13:47:00,24
2019-01-04 13:48:00,65
2019-01-04 13:49:00,27
2019-01-04 13:53:00,94
2019-01-04 13:54:00,153
2019-01-04 13:55:00,130
2019-01-04 13:56:00,74
2019-01-04 13:58:00,65
2019-01-04 13:59:00,26
2019-01-04 14:02:00,21
2019-01-04 14:03:00,192
2019-01-04 14:04:00,124
2019-01-04 14:06:00,86
2019-01-04 14:09:00,146
2019-01-04 14:10:00,98
2019-01-05 13:31:00,45
2019-01-05 13:38:00,40
2019-01-05 13:40:00,73
2019-01-05 13:41:00,90
2019-01-05 13:43:00,203
2019-01-05 13:44:00,158
2019-01-05 13:45:00,109
2019-01-05 13:51:00,34
2019-01-05 13:52:00,2
2019-01-05 13:53:00,43
2019-01-05 13:55:00,34
2019-01-05 13:57:00,119
2019-01-05 13:58:00,90
2019-01-05 13:59:00,62
2019-01-05 14:00:00,51
2019-01-05 14:01:00,8
2019-01-05 14:03:00,22
2019-01-05 14:04:00,38
2019-01-05 14:05:00,182
2019-01-05 14:06:00,135
2019-01-05 14:07:00,87
2019-01-05 14:08:00,31
2019-01-05 14:09:00,25
2019-01-05 14:10:00,24
2019-01-05 14:11:00,35
2019-01-05 14:12:00,69
2019-01-08 13:35:00,15
2019-01-08 13:41:00,90
2019-01-08 13:42:00,150
2019-01-08 13:46:00,11
2019-01-08 13:47:00,4
2019-01-08 13:49:00,33
2019-01-08 13:50:00,44
2019-01-08 13:53:00,24
2019-01-08 13:54:00,75
2019-01-08 13:55:00,23
2019-01-08 13:58:00,5
2019-01-08 13:59:00,22
2019-01-08 14:00:00,26
2019-01-08 14:01:00,15
2019-01-08 14:04:00,27
2019-01-08 14:05:00,25
2019-01-08 14:06:00,110
2019-01-08 14:07:00,33
2019-01-08 14:10:00,200
2019-01-09 13:34:00,170
2019-01-09 13:38:00,218
2019-01-09 13:39:00,49
2019-01-09 13:42:00,32
2019-01-09 13:43:00,15
2019-01-09 13:44:00,12
2019-01-09 13:46:00,19
2019-01-09 13:52:00,44
2019-01-09 13:53:00,37
2019-01-09 13:54:00,14
2019-01-09 13:56:00,173
2019-01-09 14:00:00,44
2019-01-09 14:07:00,90
2019-01-09 14:10:00,26
2019-01-09 14:11:00,2
2019-01-09 14:12:00,43
2019-01-09 14:13:00,26
2019-01-09 14:15:00,33
2019-01-09 14:16:00,32
2019-01-09 14:17:00,54
2019-01-09 14:18:00,31
2019-01-09 14:19:00,45
