1756,"select ra, dec from phototag where objID = #"
2019-12-24 01:01:00,1
2019-12-24 01:18:00,1
2019-12-24 01:21:00,1
2019-12-24 01:32:00,1
2019-12-24 01:35:00,21
2019-12-24 01:36:00,1
2019-12-24 01:39:00,5
2019-12-24 01:43:00,1
2019-12-24 01:48:00,1
2019-12-24 01:49:00,5
2019-12-24 01:51:00,1
2019-12-24 01:52:00,1
2019-12-24 01:55:00,2
2019-12-24 01:56:00,6
2019-12-24 02:04:00,2
2019-12-24 02:05:00,5
2019-12-24 02:37:00,1
2019-12-24 02:39:00,1
2019-12-24 02:54:00,1
2019-12-24 02:55:00,5
2019-12-24 02:56:00,5
2019-12-24 03:03:00,29
2019-12-24 03:04:00,31
2019-12-24 03:05:00,31
2019-12-24 03:06:00,30
2019-12-24 03:07:00,31
2019-12-24 03:08:00,31
2019-12-24 03:09:00,31
2019-12-24 03:10:00,31
2019-12-24 03:11:00,31
2019-12-24 03:12:00,31
2019-12-24 03:13:00,31
2019-12-24 03:14:00,31
2019-12-24 03:15:00,31
2019-12-24 03:16:00,31
2019-12-24 03:17:00,31
2019-12-24 03:18:00,31
2019-12-24 03:19:00,31
2019-12-24 03:20:00,31
2019-12-24 03:21:00,31
2019-12-24 03:22:00,31
2019-12-24 03:23:00,31
2019-12-24 03:24:00,31
2019-12-24 03:25:00,28
2019-12-24 03:26:00,19
2019-12-24 03:27:00,27
2019-12-24 03:28:00,28
2019-12-24 03:29:00,26
2019-12-24 03:30:00,22
2019-12-24 03:31:00,24
2019-12-24 03:32:00,27
2019-12-24 03:33:00,25
2019-12-24 03:34:00,20
2019-12-24 03:35:00,30
2019-12-24 03:36:00,31
2019-12-24 03:37:00,31
2019-12-24 03:38:00,31
2019-12-24 03:39:00,30
2019-12-24 03:40:00,31
2019-12-24 03:41:00,28
2019-12-24 03:42:00,31
2019-12-24 03:43:00,30
2019-12-24 03:44:00,30
2019-12-24 03:45:00,31
2019-12-24 03:46:00,31
2019-12-24 03:47:00,31
2019-12-24 03:48:00,31
2019-12-24 03:49:00,31
2019-12-24 03:50:00,31
2019-12-24 03:51:00,31
2019-12-24 03:52:00,30
2019-12-24 03:53:00,31
2019-12-24 03:54:00,30
2019-12-24 03:55:00,28
2019-12-24 03:56:00,31
2019-12-24 03:57:00,31
2019-12-24 03:58:00,31
2019-12-24 03:59:00,31
