13,"select dbo.fIAUFromEq (#, #)"
2019-02-02 20:27:00,1
2019-02-04 06:27:00,2
2019-02-25 05:08:00,1
2019-02-25 05:09:00,1
2019-02-25 05:17:00,1
2019-02-25 05:18:00,3
2019-04-07 16:44:00,2
2019-04-07 16:45:00,1
2019-04-07 16:49:00,1
