804,"select ra, dec, #*LOG1# (psfFlux_u) + # - extinction_u + # as psfPogCorr_u, #*LOG1# (psfFlux_g) + # - extinction_g + # as psfPogCorr_g, #*LOG1# (psfFlux_r) + # - extinction_r + # as psfPogCorr_r, #*LOG1# (psfFlux_i) + # - extinction_i + # as psfPogCorr_i, #/SQRT (psfFluxIvar_u) /psfFlux_u as psfPogErr_u, #/SQRT (psfFluxIvar_g) /psfFlux_g as psfPogErr_g, #/SQRT (psfFluxIvar_r) /psfFlux_r as psfPogErr_r, #/SQRT (psfFluxIvar_i) /psfFlux_i as psfPogErr_i from star as s where ra between # and # and dec between # and # and s.clean = # and psfFlux_u > # and psfFlux_g > # and psfFlux_r > # and psfFlux_i > #"
2019-08-18 02:17:00,5
2019-08-18 02:20:00,4
2019-08-18 02:21:00,5
2019-08-18 02:22:00,3
2019-08-18 02:23:00,7
2019-08-18 02:24:00,9
2019-08-18 02:25:00,4
2019-08-18 02:26:00,7
2019-08-18 02:27:00,7
2019-08-18 02:28:00,3
2019-08-18 02:29:00,8
2019-08-18 02:30:00,2
2019-08-18 02:31:00,2
2019-08-18 02:32:00,3
2019-08-18 02:33:00,4
2019-08-18 02:34:00,10
2019-08-18 02:35:00,26
2019-08-18 02:36:00,30
2019-08-18 02:37:00,31
2019-08-18 02:38:00,29
2019-08-18 02:39:00,11
2019-08-18 02:40:00,14
2019-08-18 02:41:00,6
2019-08-18 02:42:00,12
2019-08-18 02:43:00,3
2019-08-18 02:44:00,12
2019-08-18 02:45:00,1
2019-08-18 02:46:00,11
2019-08-18 02:47:00,11
2019-08-18 02:48:00,1
2019-08-18 02:49:00,10
2019-08-18 02:50:00,6
2019-08-18 02:51:00,15
2019-08-18 02:52:00,6
2019-08-18 02:53:00,1
2019-08-18 02:54:00,16
2019-08-18 02:55:00,5
2019-08-18 02:56:00,6
2019-08-18 02:57:00,10
2019-08-18 02:58:00,1
2019-08-18 02:59:00,4
2019-08-18 03:00:00,14
2019-08-18 03:01:00,3
2019-08-18 03:02:00,8
2019-08-18 03:03:00,9
2019-08-18 03:04:00,1
2019-08-18 03:05:00,7
2019-08-18 03:06:00,10
2019-08-18 03:07:00,10
2019-08-18 03:08:00,2
2019-08-18 03:09:00,7
2019-08-18 03:10:00,7
2019-08-18 03:11:00,1
2019-08-18 03:12:00,2
2019-08-18 03:13:00,12
2019-08-18 03:14:00,9
2019-08-18 03:15:00,8
2019-08-18 03:16:00,1
2019-08-18 03:17:00,7
2019-08-18 03:18:00,1
2019-08-18 03:19:00,13
2019-08-18 03:20:00,7
2019-08-18 03:21:00,1
2019-08-18 03:22:00,8
2019-08-18 03:23:00,2
2019-08-18 03:24:00,4
2019-08-18 03:25:00,4
2019-08-18 03:26:00,6
2019-08-18 03:27:00,3
2019-08-18 03:28:00,4
2019-08-18 03:29:00,2
2019-08-18 03:30:00,3
2019-08-18 03:31:00,4
2019-08-18 03:32:00,1
2019-08-18 03:33:00,3
2019-08-18 03:34:00,3
2019-08-18 03:35:00,2
2019-08-18 03:36:00,3
2019-08-18 03:37:00,2
2019-08-18 03:38:00,2
2019-08-18 03:39:00,5
2019-08-18 03:40:00,2
2019-08-18 03:41:00,2
2019-08-18 03:42:00,3
2019-08-18 03:43:00,2
2019-08-18 03:44:00,1
2019-08-18 03:45:00,3
2019-08-18 03:46:00,9
2019-08-18 03:47:00,23
2019-08-18 03:48:00,36
2019-08-18 03:49:00,37
2019-08-18 03:50:00,36
2019-08-18 03:51:00,14
2019-08-18 03:52:00,3
2019-08-18 03:53:00,15
2019-08-18 03:54:00,40
2019-08-18 03:55:00,9
2019-08-18 03:56:00,4
2019-08-18 20:20:00,1
2019-08-18 20:21:00,1
2019-08-18 20:25:00,1
