3,"SELECT p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.deVPhi_r, p.deVAB_r, s.z, q.z into mydb.MyTable_# from PhotoObjAll AS p JOIN Photoz AS s ON p.objid = s.objid JOIN SpecObjAll AS q ON p.specobjid = q.specobjid WHERE p.r< #"
2019-04-26 07:54:00,1
2019-04-26 07:56:00,1
2019-04-26 08:06:00,1
