8,"SELECT count (*) as #, sum (case when (Type = #) then # else # end) as # FROM galaxy AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.ra between # and # and p.dec between # and # and s.z > # and s.z < #"
2019-03-28 16:04:00,4
2019-03-28 16:05:00,4
