5,"SELECT ra, dec, z FROM SpecPhotoAll WHERE ABS (z) > # AND class = # AND petroMag_r > # AND petroMag_r < #"
2019-04-13 20:07:00,1
2019-04-14 15:35:00,2
2019-04-14 23:33:00,1
2019-04-15 04:05:00,1
