38,"SELECT DISTINCT p.ra, p.dec, p.objid, p.petroMag_r FROM PhotoObjAll AS p WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-02-13 17:49:00,2
2019-02-13 18:18:00,1
2019-02-13 18:25:00,1
2019-02-13 18:26:00,3
2019-02-13 18:47:00,2
2019-02-13 18:48:00,1
2019-02-13 18:49:00,6
2019-02-13 18:50:00,7
2019-02-13 18:56:00,1
2019-02-13 18:57:00,3
2019-02-13 18:58:00,2
2019-02-13 19:00:00,4
2019-02-13 19:02:00,1
2019-02-13 19:03:00,2
2019-02-13 19:05:00,1
2019-02-13 19:08:00,1
