85,select fieldid from field where cccol_u between # and # and skyframes_r between # and # and skysig_i between # and # and expapcorrectionerr_g between .# and .#
2019-01-24 14:18:00,2
2019-01-24 17:47:00,1
2019-01-24 23:51:00,12
2019-01-24 23:52:00,2
2019-01-25 01:26:00,4
2019-01-25 01:40:00,18
2019-01-25 01:42:00,15
2019-01-25 01:43:00,6
2019-01-25 01:44:00,4
2019-01-25 03:58:00,7
2019-01-25 04:00:00,9
2019-01-25 04:01:00,5
