2,"SELECT TOP1# p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z FROM PhotoObj AS p WHERE CLEAN = # AND p.r < # AND p.u - p.g BETWEEN # AND # AND p.g - p.r BETWEEN # AND # AND p.r - p.i BETWEEN # AND # AND p.i - p.z BETWEEN # AND #"
2019-11-14 05:34:00,1
2019-11-14 05:35:00,1
