20,"select p.objid, p.ra, p.dec, p.u, p.err_u, p.g, p.err_g, p.r, p.err_r, p.i, p.err_i, p.z, p.err_z, s.z as z_best, s.zErr from galaxy p, specobj s, dbo.fgetNearByObjEq (#, #, #) n where p.objid = s.bestobjid and p.objid = n.objid and s.bestobjid = n.objid and s.z < #"
2019-04-11 22:01:00,1
2019-07-23 19:26:00,1
2019-07-23 19:30:00,1
2019-07-23 19:34:00,1
2019-07-23 19:38:00,1
2019-07-23 19:47:00,1
2019-07-23 20:07:00,2
2019-08-17 23:10:00,1
2019-08-17 23:19:00,1
2019-12-01 23:15:00,1
2019-12-01 23:19:00,1
2019-12-05 17:27:00,1
2019-12-05 17:31:00,1
2019-12-05 17:37:00,1
2019-12-06 13:13:00,1
2019-12-26 21:45:00,1
2019-12-26 21:50:00,1
2019-12-26 21:53:00,1
2019-12-26 21:56:00,1
