11130,"SELECT p.ra , p.dec, p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, p.nMgyPerCount_u, p.nMgyPerCount_g, p.nMgyPerCount_r, p.nMgyPerCount_i, p.nMgyPerCount_z FROM PhotoObj p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = #"
2019-06-02 16:51:00,1
2019-06-02 16:58:00,1
2019-06-02 17:02:00,2
2019-06-02 17:09:00,1
2019-06-02 17:11:00,1
2019-06-02 17:12:00,1
2019-06-02 17:15:00,1
2019-06-02 17:19:00,1
2019-06-02 17:21:00,1
2019-06-02 17:23:00,1
2019-06-02 17:26:00,2
2019-06-02 17:28:00,1
2019-06-02 17:32:00,1
2019-06-02 17:41:00,1
2019-06-02 17:42:00,1
2019-06-02 17:45:00,1
2019-06-02 18:51:00,1
2019-06-02 18:52:00,1
2019-06-02 19:09:00,1
2019-06-02 19:14:00,1
2019-06-02 19:21:00,2
2019-06-02 19:29:00,1
2019-06-02 19:33:00,1
2019-10-31 11:19:00,1
2019-10-31 11:20:00,1
2019-10-31 11:22:00,1
2019-10-31 11:28:00,1
2019-10-31 11:29:00,1
2019-10-31 11:32:00,1
2019-10-31 11:33:00,1
2019-10-31 13:09:00,1
2019-10-31 13:12:00,1
2019-10-31 13:15:00,1
2019-10-31 13:23:00,1
2019-10-31 13:32:00,1
2019-10-31 13:49:00,1
2019-10-31 13:59:00,1
2019-10-31 14:02:00,1
2019-10-31 14:08:00,1
2019-10-31 14:09:00,1
2019-10-31 14:10:00,1
2019-10-31 14:11:00,2
2019-10-31 14:14:00,1
2019-10-31 14:24:00,1
2019-10-31 14:56:00,1
2019-10-31 15:15:00,1
2019-10-31 15:16:00,1
2019-10-31 15:20:00,1
2019-11-05 14:51:00,10
2019-11-05 14:53:00,10
2019-11-05 14:55:00,6
2019-11-05 14:59:00,3
2019-11-05 15:00:00,5
2019-11-05 15:03:00,5
2019-11-05 15:04:00,5
2019-11-05 15:07:00,10
2019-11-05 15:10:00,3
2019-11-05 15:11:00,9
2019-11-05 15:12:00,1
2019-11-05 15:14:00,5
2019-11-05 15:15:00,5
2019-11-06 13:06:00,3
2019-11-06 13:07:00,1
2019-11-06 13:08:00,10
