4658,"SELECT Distinct s.specObjID, s.ra, s.dec FROM dbo.SpecObjAll AS s WHERE SQUARE (s.ra - #) + SQUARE (s.dec - #) < @r and s.z > #"
2019-09-19 11:11:00,10
2019-09-19 11:14:00,25
2019-09-19 11:15:00,60
2019-09-19 11:16:00,59
2019-09-19 11:17:00,61
2019-09-19 11:18:00,59
2019-09-19 11:19:00,61
2019-09-19 11:20:00,56
2019-09-19 11:21:00,60
2019-09-19 11:22:00,63
2019-09-19 11:23:00,63
2019-09-19 11:24:00,60
2019-09-19 11:25:00,64
2019-09-19 11:26:00,63
2019-09-19 11:27:00,60
2019-09-19 11:28:00,60
2019-09-19 11:29:00,60
2019-09-19 11:30:00,62
2019-09-19 11:31:00,61
2019-09-19 11:32:00,62
2019-09-19 11:33:00,58
2019-09-19 11:34:00,59
2019-09-19 11:35:00,59
2019-09-19 11:36:00,60
2019-09-19 11:37:00,61
2019-09-19 11:38:00,61
2019-09-19 11:39:00,59
2019-09-19 11:40:00,59
2019-09-19 11:41:00,61
2019-09-19 11:42:00,59
2019-09-19 11:43:00,59
2019-09-19 11:44:00,60
2019-09-19 11:45:00,61
2019-09-19 11:46:00,59
2019-09-19 11:47:00,61
2019-09-19 11:48:00,59
2019-09-19 11:49:00,60
2019-09-19 11:50:00,61
2019-09-19 11:51:00,62
2019-09-19 11:52:00,61
2019-09-19 11:53:00,60
2019-09-19 11:54:00,61
2019-09-19 11:55:00,61
2019-09-19 11:56:00,62
2019-09-19 11:57:00,61
2019-09-19 11:58:00,59
2019-09-19 11:59:00,53
2019-09-19 12:00:00,55
2019-09-19 12:01:00,59
2019-09-19 12:02:00,54
2019-09-19 12:03:00,59
2019-09-19 12:04:00,59
2019-09-19 12:05:00,60
2019-09-19 12:06:00,60
2019-09-19 12:07:00,64
2019-09-19 12:08:00,60
2019-09-19 12:09:00,59
2019-09-19 12:10:00,57
2019-09-19 12:11:00,60
2019-09-19 12:12:00,62
2019-09-19 12:13:00,61
2019-09-19 12:14:00,61
2019-09-19 12:15:00,62
2019-09-19 12:16:00,62
2019-09-19 12:17:00,64
2019-09-19 12:18:00,63
2019-09-19 12:19:00,57
2019-09-19 12:20:00,60
2019-09-19 12:21:00,60
2019-09-19 12:22:00,59
2019-09-19 12:23:00,59
2019-09-19 12:24:00,58
2019-09-19 12:25:00,59
2019-09-19 12:26:00,59
2019-09-19 12:27:00,58
2019-09-19 12:28:00,61
2019-09-19 12:29:00,62
2019-09-19 12:30:00,61
2019-09-19 12:31:00,55
2019-10-23 19:00:00,1
2019-10-23 19:04:00,1
2019-10-23 19:05:00,1
2019-11-14 06:47:00,1
