16,"SELECT s.specobjid, s.ra, s.dec, s.plate, s.mjd, s.fiberid, p.objID, p.run, p.rerun, p.camcol, p.field FROM #upload u JOIN #x x ON x.up_id = u.up_id JOIN SpecObjAll s ON s.specObjID = x.specObjID JOIN PhotoTag p ON p.objID = s.bestObjID"
2019-01-21 11:56:00,1
2019-01-21 12:33:00,1
2019-02-13 18:58:00,1
2019-02-13 19:03:00,1
2019-02-13 19:09:00,1
2019-02-13 19:39:00,1
2019-02-13 19:42:00,1
2019-03-18 08:19:00,1
2019-03-25 08:13:00,1
2019-04-03 07:37:00,1
2019-11-08 03:03:00,1
2019-11-08 03:06:00,1
2019-11-08 03:08:00,1
2019-11-08 03:11:00,1
2019-11-08 03:14:00,1
2019-11-08 03:18:00,1
