3776,"SELECT p.objid, p.ra, p.dec, f.fieldid, p.field, p.InsideMask, p.u, p.err_u, p.g, p.err_g, p.r, p.err_r, p.i, p.err_i, p.z, p.err_z, p.type, f.quality, p.specObjID FROM PhotoPrimary AS p JOIN Field AS f ON f.fieldid = p.fieldid WHERE (clean = #) AND ( (f.quality = #) OR (f.quality = #) ) AND (p.type = dbo.fPhotoType (#) OR p.type = dbo.fPhotoType (#) ) AND (p.ra BETWEEN # AND #) AND p.dec BETWEEN # AND # AND ( (p.InsideMask = #) OR (p.InsideMask = #) OR (p.InsideMask = #) ) AND (#/p.err_u > #) AND (#/p.err_g > #) AND (#/p.err_r > #) AND (#/p.err_i > #) AND (#/p.err_z > #)"
2019-02-06 09:45:00,6
2019-02-06 09:46:00,19
2019-02-06 09:47:00,7
2019-02-06 09:48:00,3
2019-02-06 09:49:00,1
2019-02-07 10:07:00,1
2019-02-07 10:09:00,1
2019-02-07 10:10:00,1
2019-02-07 10:11:00,3
2019-02-07 10:12:00,2
2019-02-07 10:13:00,1
2019-02-07 10:14:00,2
2019-02-07 10:15:00,1
2019-02-07 10:16:00,2
2019-02-07 10:17:00,1
2019-02-07 10:23:00,1
2019-02-07 10:24:00,1
2019-02-07 10:25:00,2
2019-02-07 10:26:00,1
2019-02-07 10:27:00,2
2019-02-07 10:29:00,1
2019-02-07 10:30:00,1
2019-02-07 10:31:00,1
2019-02-07 10:41:00,1
2019-02-07 10:43:00,1
2019-02-07 10:44:00,1
2019-02-07 10:57:00,1
2019-02-07 11:17:00,1
2019-02-08 20:04:00,1
2019-02-08 20:05:00,2
2019-02-08 20:06:00,1
2019-02-08 20:07:00,3
2019-02-08 20:08:00,2
2019-02-08 20:09:00,2
2019-02-08 20:10:00,1
2019-02-08 20:11:00,2
2019-02-08 20:12:00,1
2019-02-08 20:13:00,1
2019-02-08 20:21:00,1
2019-02-08 20:22:00,1
2019-02-08 20:37:00,1
2019-02-08 20:38:00,3
2019-02-08 20:39:00,1
2019-02-08 20:40:00,1
2019-02-08 20:54:00,1
2019-02-08 20:57:00,1
2019-02-08 20:58:00,1
2019-02-08 21:09:00,1
2019-02-08 21:11:00,1
2019-02-17 10:32:00,4
2019-02-17 10:33:00,12
2019-02-17 10:34:00,7
2019-02-17 10:35:00,1
2019-02-17 10:44:00,9
2019-02-17 10:45:00,8
2019-02-17 10:46:00,1
2019-02-19 08:10:00,3
2019-02-19 08:11:00,6
2019-02-19 08:12:00,11
2019-02-22 08:16:00,12
2019-02-22 08:17:00,15
2019-02-22 08:18:00,4
2019-02-24 13:02:00,9
2019-02-24 13:03:00,6
2019-02-24 13:04:00,9
2019-02-24 13:05:00,6
2019-02-25 17:23:00,2
2019-02-25 17:24:00,4
2019-02-25 17:25:00,4
2019-02-25 17:26:00,5
2019-02-25 17:27:00,7
2019-02-25 17:28:00,7
2019-02-25 17:29:00,1
2019-02-27 11:40:00,2
2019-02-27 11:41:00,2
2019-02-27 11:42:00,5
2019-02-27 11:43:00,3
2019-02-27 11:44:00,2
2019-02-27 11:46:00,1
2019-02-27 11:47:00,1
2019-02-27 11:48:00,2
2019-02-27 11:49:00,5
2019-02-27 11:50:00,3
2019-02-27 11:51:00,4
2019-02-27 11:52:00,2
2019-02-27 11:53:00,3
2019-02-27 11:54:00,2
2019-02-27 11:55:00,1
2019-02-27 11:58:00,1
2019-02-27 11:59:00,1
2019-02-27 12:00:00,1
2019-02-27 12:02:00,1
2019-02-27 12:03:00,1
2019-02-27 12:05:00,1
2019-02-27 12:06:00,2
2019-02-27 12:07:00,2
2019-02-27 12:08:00,2
2019-02-27 12:09:00,1
2019-02-27 12:12:00,1
2019-02-27 12:13:00,1
2019-02-27 12:14:00,1
2019-02-27 12:30:00,1
2019-02-27 12:31:00,1
2019-02-27 12:33:00,1
2019-02-27 12:34:00,1
2019-02-27 12:35:00,1
2019-02-27 13:25:00,1
2019-03-05 09:16:00,4
2019-03-05 09:17:00,12
2019-03-05 09:18:00,7
2019-03-05 09:19:00,8
2019-03-05 09:20:00,11
2019-03-05 09:21:00,13
2019-03-05 09:22:00,1
2019-03-05 09:23:00,2
2019-03-05 09:24:00,3
2019-03-22 10:27:00,4
2019-03-22 10:28:00,20
2019-03-22 10:29:00,20
2019-03-22 10:30:00,15
2019-03-22 10:54:00,4
2019-03-22 10:55:00,9
2019-03-22 10:56:00,10
2019-03-22 10:57:00,2
2019-03-22 10:58:00,7
2019-03-22 10:59:00,8
2019-03-22 11:00:00,8
2019-03-22 11:01:00,6
2019-03-22 11:02:00,3
2019-03-22 11:03:00,2
2019-03-22 12:39:00,4
2019-03-22 12:40:00,6
2019-03-22 12:41:00,5
2019-03-22 12:42:00,1
2019-03-25 16:39:00,8
2019-03-25 16:40:00,7
2019-03-25 16:41:00,8
2019-03-25 16:42:00,3
2019-03-25 16:43:00,6
2019-03-25 16:44:00,6
2019-03-25 16:45:00,5
2019-03-25 16:46:00,3
2019-03-25 16:47:00,1
2019-03-26 08:33:00,2
2019-03-26 08:34:00,4
2019-03-26 08:35:00,5
2019-03-28 08:51:00,4
2019-03-28 08:52:00,11
2019-03-28 08:53:00,13
2019-03-28 08:54:00,2
2019-03-29 08:12:00,1
2019-03-29 08:13:00,8
2019-03-29 08:14:00,6
2019-03-29 08:15:00,3
2019-05-03 15:04:00,4
2019-05-03 15:05:00,4
2019-05-03 15:06:00,2
2019-05-03 15:07:00,9
2019-05-03 15:08:00,15
2019-05-03 15:09:00,10
2019-05-03 15:10:00,1
2019-05-13 22:24:00,6
2019-05-13 22:25:00,9
2019-05-13 22:26:00,3
2019-05-14 22:56:00,4
2019-05-14 22:57:00,8
2019-05-14 22:58:00,12
2019-05-14 22:59:00,2
2019-05-15 11:55:00,4
2019-05-15 11:56:00,8
2019-05-15 11:57:00,10
2019-05-15 11:58:00,6
2019-05-15 11:59:00,2
2019-05-15 12:00:00,2
2019-05-15 16:28:00,6
2019-05-15 16:51:00,2
2019-05-15 16:52:00,4
2019-05-16 10:32:00,6
2019-05-16 10:41:00,5
2019-05-16 10:42:00,1
2019-05-19 10:29:00,6
2019-05-19 10:30:00,10
2019-05-19 10:31:00,20
2019-05-19 10:32:00,12
2019-05-19 10:44:00,22
2019-05-19 10:45:00,22
2019-05-19 10:46:00,8
2019-05-19 10:47:00,10
2019-05-19 10:48:00,12
2019-05-19 10:49:00,14
2019-05-19 10:50:00,8
2019-05-19 12:07:00,1
2019-05-19 12:08:00,23
2019-05-19 12:22:00,24
2019-05-19 14:20:00,1
2019-05-19 14:21:00,11
2019-05-19 21:46:00,15
2019-05-19 21:47:00,21
2019-05-19 22:02:00,5
2019-05-19 22:03:00,7
2019-05-19 22:15:00,5
2019-05-19 22:16:00,7
2019-05-19 22:27:00,2
2019-05-19 22:28:00,24
2019-05-19 22:29:00,4
