92,"SELECT s.ra, s.dec FROM #upload u, SpecObj s WHERE u.up_plate = s.plate and u.up_mjd = s.mjd and u.up_fiber = s.fiberid"
2019-01-10 16:44:00,1
2019-01-16 12:25:00,2
2019-03-18 22:36:00,1
2019-03-26 19:04:00,1
2019-10-02 19:58:00,1
2019-10-02 20:02:00,1
2019-10-30 21:35:00,1
2019-11-04 18:33:00,1
2019-11-05 06:39:00,1
2019-11-05 09:12:00,1
2019-11-05 09:14:00,1
2019-11-05 09:22:00,1
2019-11-05 09:57:00,1
2019-11-05 10:07:00,2
2019-11-05 17:44:00,1
2019-11-05 18:56:00,1
2019-11-05 18:57:00,1
2019-11-05 18:58:00,2
2019-11-05 19:01:00,2
2019-11-05 19:02:00,2
2019-11-05 19:03:00,1
2019-11-05 19:05:00,5
2019-11-06 06:17:00,4
2019-11-06 06:18:00,4
2019-11-06 06:37:00,3
2019-11-06 06:38:00,2
2019-11-06 06:41:00,1
2019-11-06 06:42:00,2
2019-11-06 06:49:00,3
2019-11-06 06:53:00,8
2019-11-06 06:54:00,4
2019-11-06 06:55:00,3
2019-11-06 06:56:00,3
2019-11-06 06:58:00,1
2019-11-06 07:08:00,4
2019-11-06 09:23:00,1
2019-11-06 09:28:00,1
2019-11-06 09:29:00,2
2019-11-06 09:30:00,3
2019-11-06 09:31:00,6
2019-11-06 09:40:00,1
2019-11-17 11:57:00,1
2019-11-17 11:58:00,1
2019-11-17 11:59:00,1
2019-11-22 01:59:00,1
2019-12-12 17:55:00,1
