38,"SELECT TOP # specObjID, survey, bestobjid, z /*Table of top # objects with redshift, survey they are in, and object ID for searching*/ FROM SpecObj /*Objects with spectra*/ WHERE class = # /* The objects shown will all be QSO#sdss#boss') /*searching across both the legacy and boss surveys (and not other surveys) */ order by newid () /* This is the randomisation algorithm */"
2019-03-29 08:39:00,2
2019-03-29 08:40:00,1
2019-03-29 10:40:00,1
2019-03-29 10:41:00,1
2019-03-29 10:46:00,1
2019-03-29 10:57:00,1
2019-03-29 13:27:00,1
2019-03-29 13:50:00,1
2019-03-29 14:24:00,1
2019-03-29 14:39:00,1
2019-03-29 14:53:00,1
2019-03-29 15:03:00,1
2019-03-29 15:13:00,1
2019-03-29 15:22:00,1
2019-03-30 11:25:00,1
2019-03-31 10:24:00,1
2019-03-31 12:01:00,1
2019-03-31 12:18:00,1
2019-03-31 13:23:00,1
2019-03-31 13:38:00,1
2019-03-31 14:08:00,1
2019-03-31 14:10:00,1
2019-03-31 15:36:00,2
2019-03-31 15:56:00,1
2019-03-31 19:34:00,1
2019-04-05 19:14:00,1
2019-04-05 19:15:00,1
2019-04-05 22:13:00,1
2019-04-05 22:26:00,1
2019-04-05 22:49:00,1
2019-04-05 22:58:00,1
2019-04-05 23:01:00,1
2019-04-05 23:11:00,1
2019-04-05 23:13:00,1
2019-04-05 23:18:00,1
2019-04-25 16:53:00,1
