412,"SELECT TOP # s.plate, s.mjd, s.fiberid, p.run, p.rerun, p.camCol, p.field, p.obj, cast (str (p.ra, #, #) as float) as ra, cast (str (p.[dec], #, #) as float) as dec, p.r FROM ..SpecObj as s JOIN ..PhotoObj AS p ON s.bestObjID = p.objID JOIN dbo.fGetObjFromRect (#, #, #, #) AS b ON s.bestobjid = b.objID WHERE s.zWarning = #"
2019-01-01 02:03:00,1
2019-01-01 10:53:00,1
2019-01-01 21:16:00,1
2019-01-02 02:37:00,1
2019-01-04 21:38:00,1
2019-01-06 09:05:00,1
2019-01-07 23:38:00,1
2019-01-08 03:35:00,1
2019-01-08 05:02:00,1
2019-01-08 07:27:00,1
2019-01-10 03:06:00,1
2019-01-11 15:40:00,1
2019-01-13 10:40:00,1
2019-01-17 06:48:00,1
2019-01-19 04:00:00,1
2019-01-19 21:58:00,1
2019-01-21 07:46:00,1
2019-01-23 21:17:00,1
2019-01-24 14:32:00,1
2019-01-27 16:16:00,1
2019-01-27 23:42:00,1
2019-01-30 12:50:00,1
2019-01-31 04:23:00,1
2019-02-05 01:23:00,1
2019-02-06 11:21:00,1
2019-02-08 02:42:00,1
2019-02-08 16:42:00,1
2019-02-10 06:03:00,1
2019-02-11 14:09:00,1
2019-02-12 20:25:00,1
2019-02-14 11:54:00,1
2019-02-17 22:19:00,1
2019-02-21 21:30:00,1
2019-02-24 17:10:00,1
2019-02-26 03:40:00,1
2019-02-27 20:21:00,1
2019-02-28 09:24:00,1
2019-02-28 18:47:00,1
2019-02-28 19:33:00,1
2019-03-01 19:55:00,1
2019-03-01 22:29:00,1
2019-03-03 04:06:00,1
2019-03-05 09:45:00,1
2019-03-07 14:53:00,1
2019-03-08 22:57:00,1
2019-03-08 23:05:00,1
2019-03-09 02:05:00,1
2019-03-09 12:59:00,1
2019-03-10 04:30:00,1
2019-03-11 17:38:00,1
2019-03-12 11:18:00,1
2019-03-17 02:01:00,1
2019-03-17 18:52:00,1
2019-03-21 09:24:00,1
2019-03-25 03:08:00,1
2019-03-26 11:58:00,1
2019-03-27 19:20:00,1
2019-03-31 00:59:00,1
2019-04-01 18:31:00,1
2019-04-04 01:43:00,1
2019-04-05 09:03:00,1
2019-04-05 09:37:00,1
2019-04-05 18:05:00,1
2019-04-06 09:46:00,1
2019-04-07 20:02:00,1
2019-04-08 15:07:00,1
2019-04-09 09:26:00,1
2019-04-09 21:25:00,1
2019-04-11 18:33:00,1
2019-04-12 21:14:00,1
2019-04-14 13:58:00,1
2019-04-18 10:52:00,1
2019-04-18 11:14:00,1
2019-04-18 22:01:00,1
2019-04-20 20:09:00,1
2019-04-22 20:32:00,1
2019-04-23 00:20:00,1
2019-04-23 00:45:00,1
2019-04-24 08:50:00,1
2019-04-27 04:05:00,1
2019-04-27 09:35:00,1
2019-04-28 02:34:00,1
2019-04-28 04:21:00,1
2019-04-30 12:20:00,1
2019-05-03 00:01:00,1
2019-05-03 14:52:00,1
2019-05-08 15:55:00,1
2019-05-09 01:41:00,1
2019-05-13 09:39:00,1
2019-05-13 12:23:00,1
2019-05-16 05:48:00,1
2019-05-17 05:39:00,1
2019-05-17 05:41:00,1
2019-05-18 14:15:00,1
2019-05-21 07:36:00,1
2019-05-21 20:24:00,1
2019-05-24 01:05:00,1
2019-05-24 09:01:00,1
2019-05-25 00:17:00,1
2019-05-25 00:50:00,1
2019-05-25 08:10:00,1
2019-05-29 17:00:00,1
2019-05-30 08:31:00,1
2019-06-02 22:23:00,1
2019-06-05 21:56:00,1
2019-06-05 22:12:00,1
2019-06-14 13:12:00,1
2019-06-15 00:54:00,1
2019-06-21 09:56:00,1
2019-06-22 07:19:00,1
2019-06-26 00:32:00,1
2019-06-26 08:11:00,1
2019-06-27 03:51:00,1
2019-06-27 17:07:00,1
2019-06-28 11:01:00,1
2019-06-28 18:32:00,1
2019-06-28 19:58:00,1
2019-07-02 05:56:00,1
2019-07-02 19:42:00,1
2019-07-02 23:54:00,1
2019-07-03 10:49:00,1
2019-07-04 13:53:00,1
2019-07-07 03:13:00,1
2019-07-14 02:49:00,1
2019-07-14 21:26:00,1
2019-07-18 03:50:00,1
2019-07-20 05:46:00,1
2019-07-20 19:02:00,1
2019-07-22 05:41:00,1
2019-07-22 15:46:00,1
2019-07-23 16:20:00,1
2019-07-25 23:15:00,1
