21,select fieldid from field where devmodelapcorrection_i between # and -.# and psfb_u between # and #
2019-01-25 08:41:00,1
2019-01-25 12:21:00,2
2019-01-28 17:11:00,4
2019-01-28 17:54:00,2
2019-02-26 13:05:00,5
2019-02-26 13:44:00,3
2019-02-26 13:45:00,4
