2,"select top # objid, ra, dec, petroR5#_r, petromag_r, BrightestObjin1#R5# from (select objid, ra, dec, petroR5#_r, petromag_r, (select max (p.petromag_r) from dbo.fGetNearbyObjEq (photoprimary.ra, photoprimary.dec, #*photoprimary.petroR5#_r) n join photoprimary p on p.objid = n.objid) as BrightestObjin1#R5# from photoprimary) as f where petromag_r > (BrightestObjin1#R5# - #)"
2019-12-23 09:09:00,1
2019-12-23 09:13:00,1
