21,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, z.z, z.zerr FROM PhotoObj AS p LEFT OUTER JOIN SpecObj AS s ON s.bestobjid = p.objid LEFT OUTER JOIN Photoz AS z ON z.objid = p.objid JOIN dbo.fgetnearbyobjeq (#, +#, #) AS n ON n.objid = p.objid WHERE (p.type = #)"
2019-02-11 19:20:00,1
2019-02-11 19:21:00,2
2019-02-11 19:23:00,1
2019-02-11 19:24:00,1
2019-02-11 19:26:00,2
2019-02-11 19:27:00,1
2019-02-11 19:28:00,1
2019-02-11 19:29:00,2
2019-02-11 19:31:00,1
2019-02-11 19:32:00,1
2019-02-11 19:38:00,1
2019-02-11 19:39:00,1
2019-02-11 19:41:00,1
2019-02-12 23:35:00,1
2019-02-12 23:36:00,1
2019-02-12 23:37:00,1
2019-02-12 23:39:00,1
2019-02-12 23:41:00,1
