5,"SELECT TOP # G.objId, G.z, G.zErr, G.absMagR, GN.distance FROM Photoz as G JOIN dbo.fGetNearbyObjEq (#, #, #) AS GN ON G.objID = GN.objID ORDER BY distance"
2019-05-29 03:10:00,1
2019-05-29 03:19:00,2
2019-05-29 03:20:00,2
