2,"SELECT TOP # s.z, p.dec, p.objID, p.r, cast (str (p.ra, #, #) as float) as ra, p.u, p.z FROM ..SpecObj as s JOIN ..PhotoObj AS p ON s.bestObjID = p.objID JOIN dbo.fGetNearbySpecObjEq (#, #, #) AS b ON b.SpecobjID = S.SpecobjID WHERE s.z > # AND (s.class = #) AND s.z < # AND s.zWarning = # AND (p.type = # OR p.type = #)"
2019-11-04 08:21:00,1
2019-11-04 08:23:00,1
