26,"SELECT p.objid, p.ra, p.dec, p.petroMag_g, p.petroMagerr_g, p.extinction_g, p.petroMag_r, p.petroMagerr_r, p.extinction_r, p.probPSF, p.type into mydb.Ncas_SS2b1# FROM dbo.fGetNearbyObjEq (#, #, #) as b, PhotoObj as p WHERE b.objID = p.objID and p.petroMag_r - p.extinction_r < = #"
2019-01-17 15:29:00,1
2019-01-17 15:30:00,1
2019-01-17 15:32:00,1
2019-01-17 15:34:00,5
2019-01-17 15:35:00,1
2019-01-17 16:04:00,1
2019-01-17 16:05:00,6
2019-01-17 16:06:00,2
2019-01-17 16:10:00,1
2019-01-17 16:11:00,2
2019-01-17 16:12:00,1
2019-01-17 16:13:00,1
2019-01-17 16:14:00,2
2019-01-17 16:15:00,1
