36,select fieldid from field where devmodelapcorrection_i between -.# and -.# and psfb_u between # and #
2019-01-24 20:40:00,4
2019-01-25 12:21:00,3
2019-01-28 17:53:00,6
2019-01-28 17:54:00,6
2019-02-26 13:05:00,1
2019-02-26 13:44:00,9
2019-02-26 13:45:00,7
