22,"SELECT dbo.fPhotoTypeN (p.type) AS Type, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field, p.obj, p.specObjID, p.objID, p.l, p.b, p.type, p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, p.flags, p.mjd AS ImageMJD, dbo.fMjdToGMT (p.mjd) AS ImageMJDString, dbo.fPhotoModeN (p.mode) AS Mode, p.parentID, p.nChild, p.extinction_r, p.petroRad_r, p.petroRadErr_r, Photoz.z AS Photoz, Photoz.zerr AS Photoz_err, zooSpec.spiral AS Zoo1Morphology_spiral, zooSpec.elliptical AS Zoo1Morphology_elliptical, zooSpec.uncertain AS Zoo1Morphology_uncertain, s.instrument, s.class, s.z, s.zErr, s.survey, s.programname, s.sourcetype, s.velDisp, s.velDispErr, s.plate, s.mjd AS specMJD, s.fiberID FROM PhotoObj AS p LEFT JOIN Photoz ON Photoz.objID = p.objID LEFT JOIN zooSpec ON zooSpec.objID = p.objID LEFT JOIN SpecObj AS s ON s.specObjID = p.specObjID WHERE p.objID = #"
2019-03-14 14:55:00,1
2019-03-14 15:14:00,1
2019-03-14 15:22:00,1
2019-03-14 15:24:00,1
2019-03-14 15:25:00,1
2019-03-14 15:26:00,1
2019-03-14 15:31:00,1
2019-03-14 15:37:00,1
2019-03-14 15:38:00,1
2019-03-14 15:39:00,1
2019-03-14 15:41:00,1
2019-03-14 15:42:00,1
2019-03-14 15:43:00,1
2019-03-14 15:44:00,1
2019-03-14 15:45:00,1
2019-03-14 15:47:00,1
2019-03-14 15:50:00,1
2019-03-14 15:52:00,1
2019-03-14 15:56:00,1
2019-03-14 15:58:00,1
2019-03-14 16:00:00,1
2019-03-15 14:40:00,1
