2,"select top # G.objID, G.ra, G.dec, p.z from Galaxy as G, photoz as p JOIN dbo.fGetNearbyObjEq (#, #, #) as N ON G.objID = N.objID and G.objID = p.objID"
2019-11-12 21:08:00,1
2019-11-12 21:09:00,1
