205,select fieldid from field where a_g between .# and .# and skyframes_g between # and #
2019-01-24 14:30:00,3
2019-01-24 16:35:00,1
2019-01-24 16:36:00,2
2019-01-24 16:37:00,5
2019-01-24 18:00:00,4
2019-01-24 20:04:00,1
2019-01-24 20:05:00,2
2019-01-24 20:06:00,3
2019-01-24 22:51:00,1
2019-01-25 01:11:00,1
2019-01-25 01:12:00,2
2019-01-25 01:27:00,1
2019-01-25 02:39:00,2
2019-01-25 02:42:00,1
2019-01-25 03:44:00,2
2019-01-25 04:41:00,1
2019-01-25 04:43:00,3
2019-01-25 04:50:00,1
2019-01-25 04:51:00,1
2019-01-25 06:16:00,1
2019-01-25 06:25:00,4
2019-01-25 06:29:00,4
2019-01-25 06:32:00,4
2019-01-25 06:34:00,1
2019-01-25 06:35:00,2
2019-01-25 06:43:00,3
2019-01-25 06:44:00,1
2019-01-25 06:49:00,4
2019-01-25 06:57:00,1
2019-01-25 06:58:00,1
2019-01-25 06:59:00,2
2019-01-25 07:06:00,1
2019-01-25 07:12:00,1
2019-01-25 07:14:00,2
2019-01-25 07:16:00,3
2019-01-25 07:17:00,3
2019-01-25 07:20:00,1
2019-01-25 08:11:00,5
2019-01-25 14:20:00,4
2019-01-28 02:29:00,7
2019-01-28 15:50:00,1
2019-01-28 16:25:00,1
2019-01-28 17:55:00,1
2019-01-28 19:48:00,17
2019-01-28 20:24:00,8
2019-01-28 20:38:00,10
2019-01-28 20:39:00,3
2019-01-28 22:02:00,1
2019-01-28 22:15:00,1
2019-02-26 10:33:00,1
2019-02-26 10:39:00,6
2019-02-26 10:56:00,8
2019-02-26 10:57:00,1
2019-02-26 11:02:00,1
2019-02-26 11:08:00,1
2019-02-26 11:10:00,2
2019-02-26 11:38:00,1
2019-02-26 12:22:00,6
2019-02-26 12:37:00,1
2019-02-26 12:40:00,2
2019-02-26 12:48:00,2
2019-02-26 13:00:00,11
2019-02-26 13:19:00,8
2019-02-26 13:23:00,4
2019-02-26 13:25:00,8
2019-02-26 13:27:00,3
2019-02-26 13:30:00,2
2019-02-26 13:41:00,1
2019-02-26 13:44:00,1
