31,"select cat1 = run1, cat2 = run2, arcsec, cts = sum (cts) from astrometry.budavari.Stripe8#Match0#Stars1#k2#Run2k where run1 IN () and run2 IN () and row1 IN () and row2 IN () and col1 IN () and col2 IN () and mag IN () group by run1, run2, arcsec order by run1, run2, arcsec"
2019-06-11 14:27:00,1
2019-06-11 14:37:00,1
2019-06-11 14:54:00,1
2019-06-12 10:12:00,1
2019-06-13 07:52:00,1
2019-06-13 09:10:00,1
2019-10-13 12:10:00,2
2019-10-13 12:17:00,2
2019-10-13 12:22:00,1
2019-10-13 12:29:00,2
2019-10-13 12:31:00,1
2019-10-13 14:40:00,1
2019-10-13 19:11:00,2
2019-10-13 19:15:00,1
2019-10-13 19:16:00,2
2019-10-13 19:18:00,2
2019-10-13 19:34:00,1
2019-10-13 19:38:00,1
2019-10-13 19:39:00,1
2019-10-13 19:40:00,1
2019-10-13 19:41:00,1
2019-10-13 19:42:00,1
2019-10-14 00:02:00,1
2019-10-14 00:35:00,1
2019-10-15 18:28:00,1
