394,"select top # ra, dec from Frame"
2019-01-01 02:02:00,1
2019-01-01 10:49:00,1
2019-01-01 21:15:00,1
2019-01-02 02:33:00,1
2019-01-04 21:36:00,1
2019-01-07 23:37:00,1
2019-01-08 03:34:00,1
2019-01-08 05:01:00,1
2019-01-08 07:25:00,1
2019-01-08 18:19:00,1
2019-01-10 03:00:00,1
2019-01-10 10:22:00,1
2019-01-13 10:36:00,1
2019-01-15 21:35:00,1
2019-01-17 06:38:00,1
2019-01-17 15:47:00,1
2019-01-17 15:48:00,1
2019-01-17 15:50:00,1
2019-01-22 04:30:00,1
2019-01-24 14:29:00,1
2019-01-26 15:23:00,1
2019-01-27 23:39:00,1
2019-01-28 16:54:00,1
2019-01-31 04:20:00,1
2019-02-05 01:21:00,1
2019-02-05 03:41:00,1
2019-02-06 21:09:00,1
2019-02-07 21:01:00,1
2019-02-08 00:50:00,1
2019-02-08 02:37:00,1
2019-02-08 16:37:00,1
2019-02-10 06:02:00,1
2019-02-12 20:22:00,1
2019-02-13 14:58:00,1
2019-02-13 15:30:00,1
2019-02-14 09:42:00,1
2019-02-14 11:52:00,1
2019-02-16 16:52:00,1
2019-02-17 02:54:00,1
2019-02-17 22:15:00,1
2019-02-21 04:28:00,1
2019-02-21 22:33:00,1
2019-02-22 18:44:00,1
2019-02-24 06:33:00,1
2019-02-26 03:37:00,1
2019-02-26 22:02:00,1
2019-02-27 08:36:00,1
2019-02-28 09:22:00,1
2019-02-28 18:46:00,1
2019-02-28 19:34:00,1
2019-03-01 19:52:00,1
2019-03-01 22:26:00,1
2019-03-02 20:34:00,1
2019-03-03 04:03:00,1
2019-03-03 10:08:00,1
2019-03-03 10:52:00,1
2019-03-06 21:38:00,1
2019-03-07 14:51:00,1
2019-03-07 15:07:00,1
2019-03-08 14:44:00,1
2019-03-08 22:57:00,1
2019-03-08 23:04:00,1
2019-03-09 02:01:00,1
2019-03-09 12:58:00,1
2019-03-10 04:28:00,1
2019-03-11 17:32:00,1
2019-03-13 10:09:00,1
2019-03-14 08:22:00,1
2019-03-16 16:24:00,1
2019-03-17 01:55:00,1
2019-03-17 17:56:00,1
2019-03-18 05:13:00,1
2019-03-21 01:12:00,1
2019-03-23 17:06:00,1
2019-03-25 03:04:00,1
2019-03-26 11:55:00,1
2019-03-29 04:50:00,1
2019-03-31 02:19:00,1
2019-04-01 00:36:00,1
2019-04-01 00:57:00,2
2019-04-01 14:48:00,1
2019-04-01 18:30:00,1
2019-04-02 02:56:00,1
2019-04-03 21:17:00,1
2019-04-04 05:21:00,1
2019-04-05 01:49:00,1
2019-04-05 09:02:00,1
2019-04-05 19:56:00,1
2019-04-06 17:12:00,1
2019-04-07 19:59:00,1
2019-04-09 09:26:00,1
2019-04-09 21:24:00,1
2019-04-12 00:59:00,1
2019-04-14 13:54:00,1
2019-04-15 02:36:00,1
2019-04-18 10:48:00,1
2019-04-18 11:13:00,1
2019-04-18 22:00:00,1
2019-04-20 07:33:00,1
2019-04-20 20:06:00,1
2019-04-22 20:31:00,1
2019-04-23 00:17:00,1
2019-04-23 00:40:00,1
2019-04-24 08:43:00,1
2019-04-27 09:31:00,1
2019-04-27 21:51:00,1
2019-04-28 02:31:00,1
2019-04-28 04:19:00,1
2019-04-29 22:20:00,1
2019-04-30 12:17:00,1
2019-04-30 17:29:00,1
2019-05-02 16:51:00,1
2019-05-02 17:04:00,1
2019-05-02 23:58:00,1
2019-05-03 14:51:00,1
2019-05-06 17:11:00,1
2019-05-11 01:34:00,1
2019-05-13 09:35:00,1
2019-05-13 12:21:00,1
2019-05-15 12:47:00,1
2019-05-15 17:52:00,1
2019-05-16 05:46:00,1
2019-05-17 05:36:00,1
2019-05-17 05:39:00,1
2019-05-17 16:42:00,1
2019-05-21 07:33:00,1
2019-05-21 20:21:00,1
2019-05-23 02:48:00,1
2019-05-24 01:03:00,1
2019-05-24 09:00:00,1
2019-05-24 15:28:00,1
2019-05-24 20:47:00,2
2019-05-24 20:57:00,2
2019-05-25 00:16:00,1
2019-05-25 00:49:00,1
2019-05-25 08:07:00,1
2019-05-25 13:41:00,1
2019-05-27 22:21:00,1
2019-05-29 16:56:00,1
2019-05-30 08:29:00,1
2019-06-01 15:56:00,1
2019-06-02 22:20:00,1
2019-06-05 01:52:00,1
2019-06-05 21:53:00,1
2019-06-07 06:05:00,1
2019-06-15 00:50:00,1
2019-06-15 22:51:00,1
2019-06-16 19:44:00,1
2019-06-21 10:36:00,1
2019-06-21 15:23:00,1
2019-06-23 21:50:00,1
2019-06-24 23:18:00,1
2019-06-27 03:48:00,1
2019-06-27 17:06:00,1
2019-06-28 18:25:00,1
2019-06-30 03:28:00,1
2019-07-02 05:22:00,2
2019-07-02 19:39:00,1
2019-07-02 19:42:00,1
2019-07-02 23:54:00,1
2019-07-03 10:46:00,1
2019-07-04 13:51:00,1
2019-07-05 21:53:00,1
2019-07-07 03:09:00,1
2019-07-11 19:11:00,1
2019-07-12 01:25:00,1
2019-07-14 02:46:00,1
2019-07-17 07:30:00,1
2019-07-17 22:18:00,1
2019-07-17 22:19:00,1
2019-07-18 03:46:00,1
2019-07-20 05:43:00,1
2019-07-20 07:05:00,1
2019-07-20 18:58:00,1
2019-07-22 04:43:00,1
2019-07-22 05:40:00,1
2019-07-22 13:47:00,1
2019-07-23 16:14:00,1
2019-07-24 21:36:00,1
2019-07-25 23:14:00,1
2019-07-26 14:39:00,1
2019-07-27 18:36:00,1
2019-07-29 23:57:00,1
2019-07-31 02:05:00,1
2019-08-01 22:03:00,1
2019-08-02 05:05:00,1
2019-08-02 11:52:00,1
2019-08-04 11:24:00,1
2019-08-05 13:28:00,1
2019-08-11 01:34:00,1
2019-08-11 21:35:00,2
2019-08-11 21:37:00,1
2019-08-11 21:38:00,1
2019-08-11 21:43:00,2
2019-08-11 21:58:00,1
2019-08-12 04:11:00,1
2019-08-12 09:37:00,1
2019-08-12 19:33:00,1
2019-08-13 00:23:00,1
2019-08-13 16:17:00,1
2019-08-15 20:02:00,1
2019-08-15 22:53:00,1
2019-08-17 00:07:00,1
2019-08-23 01:49:00,1
2019-08-24 15:20:00,1
2019-08-25 05:10:00,1
2019-08-27 00:00:00,1
2019-08-28 00:57:00,1
2019-08-31 01:53:00,1
2019-08-31 04:00:00,1
2019-08-31 12:28:00,1
2019-09-01 00:06:00,1
2019-09-01 00:48:00,1
2019-09-01 09:19:00,1
2019-09-01 10:42:00,1
2019-09-01 21:41:00,1
2019-09-06 02:33:00,1
2019-09-06 14:53:00,1
