2,"select p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.z as redshift from star p, specobj s where p.objid = s.bestobjid and (p.g BETWEEN # AND #) and (p.u-p.g BETWEEN # AND #) and (p.g-p.r BETWEEN # AND #) and s.z BETWEEN # AND #"
2019-11-28 13:38:00,1
2019-11-28 13:40:00,1
