8191,"SELECT ra, dec, u, err_u, g, err_g, r, err_r, i, err_i, z, err_z FROM Star WHERE ra BETWEEN # AND # AND dec BETWEEN # and # AND g< #"
2019-01-25 11:10:00,1
2019-01-25 14:55:00,1
2019-01-27 14:10:00,1
2019-01-27 15:21:00,1
2019-01-27 15:23:00,1
2019-01-27 15:24:00,1
2019-01-27 15:47:00,3
2019-01-27 16:04:00,2
2019-01-27 17:08:00,1
2019-01-30 10:29:00,1
2019-01-30 11:50:00,1
2019-01-30 11:52:00,1
2019-01-30 12:08:00,1
2019-01-30 15:22:00,2
2019-01-30 15:45:00,1
2019-01-31 09:53:00,1
2019-01-31 10:52:00,3
2019-01-31 10:53:00,5
2019-01-31 11:07:00,4
2019-01-31 11:27:00,11
2019-01-31 11:32:00,13
2019-01-31 11:35:00,1
2019-01-31 11:55:00,12
2019-01-31 11:56:00,2
2019-01-31 12:01:00,2
2019-01-31 12:21:00,3
2019-01-31 13:57:00,9
2019-01-31 13:59:00,1
2019-01-31 14:14:00,7
2019-01-31 14:18:00,1
2019-01-31 14:27:00,7
2019-01-31 14:32:00,6
2019-01-31 16:55:00,5
2019-01-31 16:56:00,1
2019-01-31 17:41:00,4
2019-01-31 17:42:00,3
2019-01-31 18:10:00,2
2019-02-02 18:01:00,1
2019-02-02 18:02:00,6
2019-02-02 18:08:00,1
2019-02-02 18:23:00,2
2019-02-05 09:47:00,4
2019-02-05 10:05:00,6
2019-02-05 16:31:00,3
2019-02-05 16:34:00,1
2019-02-06 09:47:00,4
2019-02-06 09:48:00,1
2019-02-06 09:49:00,8
2019-02-06 09:50:00,7
2019-02-06 09:54:00,2
2019-02-06 09:55:00,3
2019-02-06 09:57:00,5
2019-02-06 09:58:00,12
2019-02-06 09:59:00,2
2019-02-06 10:08:00,1
2019-02-06 10:09:00,2
2019-02-09 07:56:00,5
2019-02-10 08:42:00,1
2019-02-12 13:54:00,1
2019-02-12 13:55:00,6
2019-02-12 13:56:00,2
2019-02-12 14:03:00,1
2019-02-12 14:04:00,1
2019-02-12 14:30:00,4
2019-02-12 14:31:00,5
2019-02-12 14:33:00,1
2019-02-12 14:34:00,2
2019-02-12 15:04:00,5
2019-02-13 10:20:00,1
2019-02-13 15:33:00,1
2019-02-14 20:39:00,3
2019-02-14 20:43:00,1
2019-02-18 09:51:00,1
2019-02-18 18:29:00,2
2019-02-19 11:54:00,5
2019-02-19 13:49:00,7
2019-02-20 07:35:00,14
2019-02-20 07:36:00,5
2019-02-20 07:37:00,4
2019-02-20 10:06:00,4
2019-02-20 11:57:00,7
2019-02-22 11:26:00,4
2019-02-23 17:24:00,4
2019-02-24 11:04:00,1
2019-02-25 11:45:00,21
2019-02-25 14:14:00,7
2019-02-25 14:33:00,7
2019-02-25 20:51:00,1
2019-02-26 09:44:00,8
2019-02-26 09:56:00,1
2019-02-28 07:56:00,4
2019-02-28 07:58:00,1
2019-02-28 07:59:00,2
2019-02-28 08:00:00,1
2019-02-28 08:01:00,6
2019-02-28 08:02:00,5
2019-02-28 08:03:00,8
2019-02-28 08:07:00,1
2019-02-28 08:14:00,1
2019-02-28 08:15:00,1
2019-02-28 08:16:00,1
2019-02-28 08:17:00,1
2019-02-28 08:18:00,2
2019-02-28 08:20:00,1
2019-02-28 08:21:00,3
2019-02-28 08:22:00,1
2019-02-28 08:39:00,2
2019-02-28 10:19:00,1
2019-02-28 10:39:00,3
2019-02-28 11:22:00,7
2019-02-28 11:23:00,2
2019-02-28 14:10:00,5
2019-03-01 11:06:00,1
2019-03-01 11:27:00,1
2019-03-01 14:59:00,1
2019-03-01 15:00:00,3
2019-03-01 15:01:00,2
2019-03-01 15:02:00,4
2019-03-01 15:03:00,5
2019-03-01 15:04:00,5
2019-03-01 15:05:00,4
2019-03-01 19:17:00,3
2019-03-01 20:00:00,1
2019-03-01 20:12:00,4
2019-03-01 20:21:00,1
2019-03-01 20:32:00,2
2019-03-01 20:33:00,13
2019-03-01 20:53:00,7
2019-03-04 08:39:00,1
2019-03-04 08:56:00,1
2019-03-04 13:19:00,6
2019-03-04 14:41:00,13
2019-03-04 14:42:00,1
2019-03-04 14:43:00,3
2019-03-04 16:12:00,5
2019-03-04 18:00:00,3
2019-03-07 09:24:00,7
2019-03-09 11:12:00,12
2019-03-09 11:13:00,10
2019-03-09 11:14:00,2
2019-03-09 11:17:00,7
2019-03-09 13:34:00,5
2019-03-09 13:54:00,2
2019-03-09 13:55:00,5
2019-03-09 14:04:00,12
2019-03-09 14:05:00,4
2019-03-09 14:06:00,9
2019-03-11 15:42:00,2
2019-03-11 15:43:00,3
2019-03-11 15:45:00,3
2019-03-11 16:22:00,1
2019-03-11 16:40:00,1
2019-03-12 10:37:00,3
2019-03-12 10:59:00,1
2019-03-12 11:05:00,2
2019-03-12 16:37:00,1
2019-03-12 16:38:00,1
2019-03-12 16:45:00,1
2019-03-12 16:52:00,1
2019-03-12 16:56:00,1
2019-03-12 16:57:00,1
2019-03-12 16:58:00,1
2019-03-12 16:59:00,1
2019-03-13 09:17:00,7
2019-03-15 07:05:00,13
2019-03-15 07:10:00,1
2019-03-15 08:01:00,2
2019-03-15 08:03:00,2
2019-03-15 08:04:00,8
2019-03-15 15:28:00,6
2019-03-15 15:30:00,1
2019-03-18 08:07:00,1
2019-03-18 08:08:00,6
2019-03-18 08:10:00,9
2019-03-21 14:08:00,1
2019-03-23 16:47:00,6
2019-03-28 15:57:00,2
2019-03-29 08:03:00,4
2019-03-29 08:07:00,2
2019-03-29 08:15:00,2
2019-03-29 08:52:00,1
2019-03-29 08:53:00,4
2019-03-29 10:10:00,1
2019-03-29 10:11:00,1
2019-03-29 10:14:00,2
2019-03-29 10:18:00,1
2019-03-29 14:01:00,6
2019-04-01 08:08:00,1
2019-04-03 14:02:00,4
2019-04-04 08:02:00,1
2019-04-04 09:38:00,5
2019-04-04 09:44:00,5
2019-04-04 09:45:00,5
2019-04-04 09:46:00,2
2019-04-04 09:47:00,1
2019-04-04 14:34:00,1
2019-04-04 14:35:00,2
2019-04-04 14:37:00,1
2019-04-04 14:47:00,4
2019-04-04 14:49:00,4
2019-04-08 07:06:00,4
2019-04-08 10:25:00,9
2019-04-08 16:34:00,1
2019-04-08 16:36:00,8
2019-04-09 14:46:00,4
2019-04-11 16:42:00,3
2019-04-11 17:36:00,2
2019-04-11 17:37:00,1
2019-04-11 17:46:00,3
2019-04-11 18:17:00,1
2019-04-11 18:18:00,1
2019-04-11 18:30:00,1
2019-04-11 18:31:00,2
2019-04-11 18:42:00,1
2019-04-11 18:43:00,1
2019-04-11 19:03:00,2
2019-04-11 19:22:00,1
2019-04-11 19:46:00,2
2019-04-11 19:55:00,1
2019-04-11 19:56:00,1
2019-04-11 20:27:00,2
2019-04-12 16:09:00,6
2019-04-12 16:15:00,1
2019-04-16 16:48:00,10
2019-04-17 08:05:00,4
2019-04-17 08:06:00,4
2019-04-17 08:08:00,2
2019-04-18 08:10:00,5
2019-04-18 08:25:00,3
2019-04-18 11:08:00,1
2019-04-18 11:09:00,3
2019-04-18 11:12:00,1
2019-04-18 11:14:00,2
2019-04-18 15:50:00,9
2019-04-18 15:53:00,7
2019-04-18 19:58:00,6
2019-04-18 19:59:00,10
2019-04-18 20:00:00,6
2019-04-18 20:01:00,2
2019-04-18 20:02:00,6
2019-04-18 20:03:00,4
2019-04-19 15:25:00,1
2019-04-19 15:34:00,4
2019-04-19 15:35:00,2
2019-04-22 21:06:00,2
2019-04-24 13:46:00,1
2019-04-24 13:47:00,1
2019-04-24 13:49:00,1
2019-04-29 07:18:00,8
2019-04-30 21:07:00,5
2019-04-30 21:11:00,1
2019-04-30 21:13:00,1
2019-04-30 21:17:00,5
2019-05-03 10:01:00,4
2019-05-03 10:05:00,4
2019-05-03 10:08:00,5
2019-05-03 10:10:00,4
2019-05-03 18:24:00,1
2019-05-03 18:45:00,1
2019-05-06 10:22:00,1
2019-05-06 15:54:00,1
2019-05-12 08:12:00,1
2019-05-13 09:49:00,5
2019-05-13 09:52:00,2
2019-05-14 10:56:00,8
2019-05-14 10:57:00,2
2019-05-14 13:55:00,1
2019-05-14 18:13:00,1
2019-05-15 08:27:00,6
2019-05-15 08:52:00,3
2019-05-15 08:55:00,3
2019-05-15 08:56:00,10
2019-05-15 08:58:00,4
2019-05-15 09:02:00,4
2019-05-17 16:14:00,3
2019-05-20 10:25:00,12
2019-05-20 11:04:00,7
2019-05-20 20:18:00,8
2019-05-22 10:57:00,1
2019-05-22 10:58:00,3
2019-05-23 10:59:00,1
2019-05-27 13:15:00,2
2019-05-27 13:16:00,5
2019-05-29 00:42:00,1
2019-05-29 00:43:00,2
2019-05-29 00:48:00,3
2019-05-29 08:39:00,4
2019-05-29 08:55:00,1
2019-05-29 08:56:00,2
2019-05-29 09:11:00,5
2019-05-29 09:19:00,2
2019-05-29 09:34:00,1
2019-05-30 09:14:00,4
2019-05-30 09:15:00,1
2019-05-30 09:46:00,3
2019-05-30 09:47:00,8
2019-05-30 09:48:00,1
2019-05-30 14:55:00,1
2019-05-30 15:38:00,1
2019-05-30 16:37:00,1
2019-05-31 08:20:00,1
2019-05-31 08:21:00,3
2019-05-31 09:31:00,2
2019-05-31 10:28:00,8
2019-05-31 10:30:00,3
2019-06-04 02:15:00,1
2019-06-04 02:17:00,1
2019-06-04 02:55:00,1
2019-06-04 04:16:00,1
2019-06-04 04:59:00,1
2019-06-04 05:08:00,1
2019-06-04 05:19:00,1
2019-06-04 07:58:00,15
2019-06-04 13:01:00,6
2019-06-04 16:39:00,4
2019-06-04 16:42:00,2
2019-06-04 16:43:00,1
2019-06-04 16:58:00,1
2019-06-04 16:59:00,1
2019-06-04 17:01:00,1
2019-06-04 17:06:00,1
2019-06-04 17:57:00,1
2019-06-04 17:59:00,5
2019-06-04 18:00:00,2
2019-06-04 18:22:00,6
2019-06-04 18:31:00,1
2019-06-04 18:33:00,1
2019-06-04 18:37:00,6
2019-06-04 18:38:00,1
2019-06-04 18:41:00,1
2019-06-04 18:46:00,1
2019-06-04 18:50:00,1
2019-06-04 18:54:00,1
2019-06-04 18:58:00,1
2019-06-04 18:59:00,1
2019-06-04 19:08:00,1
2019-06-04 19:17:00,1
2019-06-04 19:22:00,1
2019-06-04 19:31:00,1
2019-06-04 19:41:00,1
2019-06-04 19:50:00,1
2019-06-04 20:27:00,1
2019-06-04 20:38:00,1
2019-06-04 20:50:00,1
2019-06-04 21:01:00,1
2019-06-04 21:12:00,1
2019-06-04 21:24:00,1
2019-06-04 21:59:00,2
2019-06-04 22:12:00,2
2019-06-04 22:24:00,2
2019-06-04 22:38:00,1
2019-06-04 22:54:00,1
2019-06-04 23:08:00,1
2019-06-04 23:21:00,1
2019-06-04 23:29:00,1
2019-06-04 23:41:00,1
2019-06-04 23:53:00,1
2019-06-05 00:27:00,1
2019-06-05 00:32:00,1
2019-06-05 00:45:00,1
2019-06-05 01:01:00,1
2019-06-05 01:09:00,1
2019-06-05 01:18:00,1
2019-06-05 01:33:00,1
2019-06-05 01:46:00,1
2019-06-05 02:01:00,1
2019-06-05 02:14:00,1
2019-06-05 02:21:00,1
2019-06-05 02:28:00,1
2019-06-05 02:34:00,1
2019-06-05 02:42:00,1
2019-06-05 02:49:00,1
2019-06-05 03:03:00,1
2019-06-05 03:48:00,1
2019-06-05 03:56:00,1
2019-06-05 04:17:00,1
2019-06-05 04:24:00,1
2019-06-05 04:33:00,1
2019-06-05 06:58:00,1
2019-06-05 07:13:00,1
2019-06-05 08:18:00,1
2019-06-05 08:26:00,1
2019-06-05 08:33:00,1
2019-06-05 08:36:00,1
2019-06-05 09:51:00,6
2019-06-05 17:10:00,3
2019-06-05 17:11:00,13
2019-06-05 18:05:00,1
2019-06-05 18:06:00,1
2019-06-05 18:09:00,1
2019-06-05 18:22:00,2
2019-06-05 18:25:00,2
