22,"SELECT top # bestObjId, z, ra, dec, plate, mjd, fiberId, run2d, # + cast (run2d as varchar (#) ) + # + format (plate, #) + # + format (plate, #) + # + cast (mjd as varchar (#) ) + # + format (fiberid, #) + # as url FROM specObjAll WHERE survey = # AND class = # and zWarning = # AND bestObjId > # AND (z > # AND z < #) AND (htmid*# & #) < (# * #)"
2019-03-18 20:45:00,1
2019-03-18 20:47:00,1
2019-03-18 20:48:00,1
2019-03-19 11:28:00,1
2019-03-19 11:48:00,1
2019-03-19 18:58:00,1
2019-03-19 18:59:00,1
2019-03-19 19:01:00,1
2019-03-19 19:14:00,1
2019-03-20 17:09:00,1
2019-03-20 17:14:00,2
2019-03-20 17:17:00,3
2019-03-20 17:31:00,1
2019-03-20 17:32:00,1
2019-03-20 17:33:00,1
2019-03-20 17:34:00,1
2019-03-20 17:38:00,1
2019-03-21 12:24:00,1
2019-05-03 14:12:00,1
