19,"select objid, p_el, p_cw, p_acw, p_edge, p_dk, p_mg, p_cs from zooSpec where p_el > = # and objid> #"
2019-01-06 17:46:00,1
2019-03-16 00:06:00,1
2019-03-16 11:20:00,1
2019-06-17 17:08:00,1
2019-06-19 10:25:00,1
2019-06-24 04:17:00,1
2019-06-24 05:48:00,1
2019-06-24 06:30:00,1
2019-06-24 06:55:00,1
2019-06-24 07:29:00,1
2019-06-24 10:08:00,1
2019-06-24 12:03:00,1
2019-06-24 12:48:00,1
2019-07-17 22:59:00,1
2019-08-19 03:02:00,1
2019-08-19 03:39:00,1
2019-08-23 12:40:00,1
2019-08-26 13:38:00,1
2019-12-02 00:39:00,1
