2,"select s.specobjid, SL.ew as EW_Ha from photoprimary p join specobj s on p.objid = s.bestobjid join SpecLine SL on s.specobjid = SL.specobjid WHERE s.z > # and petroR5#_r > # and petroR5#_g > # and (p.petroMag_g + p.extinction_g - p.petroMag_r - p.extinction_r) < = # and (p.petroMag_g + p.extinction_g - #*log1# (#*s.z) ) > (#) + #* (p.petroMag_g + p.extinction_g - p.petroMag_r - p.extinction_r) and (p.petroMag_g + p.extinction_g - p.petroMag_r - p.extinction_r + #*log1# (p.petroR5#_g) - #*log1# (p.petroR5#_r) ) < = # and (# + p.petroMag_g + p.extinction_g + #*log1# (p.petroR5#_g) ) < # - #* (p.petroMag_g + p.extinction_g - p.petroMag_r + p.extinction_r + #*log1# (p.petroR5#_g) - #*log1# (p.petroR5#_r) ) and (SL.lineID = # and SL.ew > #) ) as f JOIN SpecLine SL ON f.specobjid = SL.specobjid WHERE SL.lineID = # and log1# (SL.ew/f.EW_Ha) > #"
2019-12-11 02:14:00,1
2019-12-11 02:15:00,1
