2,"SELECT P.ObjID, P.ra, P.dec, P.type, P.cModelMag_g, P.cModelMag_r into mydb.CIRs_# From PhotoObjAll P, mydb.CIRss x WHERE (P.flags & dbo.fPhotoFlags (#) ) = # and x.col2 = P.ObjID and p.type = #"
2019-12-04 03:39:00,1
2019-12-04 03:40:00,1
