63,"SELECT TOP # u, g, r, i, z FROM Galaxy WHERE (htmid*# & #) < (# * #) and utl_inaddr.get_host_address ((chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) ||chr (#) )) and # = #"
2019-07-12 06:24:00,2
2019-07-12 16:33:00,2
2019-07-22 23:15:00,2
2019-07-24 07:38:00,2
2019-08-01 04:41:00,2
2019-08-02 17:06:00,1
2019-08-02 17:07:00,1
2019-08-03 05:35:00,2
2019-08-03 13:34:00,2
2019-08-04 22:46:00,2
2019-08-08 23:14:00,1
2019-08-08 23:15:00,1
2019-08-09 18:05:00,2
2019-08-13 13:13:00,1
2019-08-13 13:14:00,1
2019-08-14 18:08:00,2
2019-08-14 18:41:00,2
2019-08-15 00:24:00,2
2019-08-15 09:57:00,2
2019-08-20 21:31:00,1
2019-08-20 21:32:00,1
2019-08-21 18:14:00,2
2019-08-25 10:37:00,2
2019-08-29 13:19:00,2
2019-08-29 15:29:00,2
2019-08-31 18:07:00,2
2019-08-31 21:30:00,2
2019-09-02 02:39:00,2
2019-09-05 10:46:00,1
2019-09-05 10:47:00,1
2019-09-09 18:57:00,2
2019-09-09 19:47:00,2
2019-09-24 06:18:00,2
2019-09-30 01:00:00,1
2019-09-30 01:01:00,1
2019-10-16 07:45:00,1
2019-10-25 14:17:00,2
2019-11-02 20:47:00,1
2019-11-02 20:48:00,1
